Date,CAName,Sex,AgeGroup,Population,Dose,NumberVaccinated,PercentCoverage,CumulativeNumberVaccinated,CumulativePercentCoverage
20201208,Midlothian,Female,18 - 29,6280.0,Dose 1,13,0.207006369426752,13,0.207006369426752
20201208,Midlothian,Female,18 years and over,38249.0,Dose 1,102,0.26667363852649695,102,0.26667363852649695
20201208,Midlothian,Female,30 - 39,6488.0,Dose 1,19,0.292848335388409,19,0.292848335388409
20201208,Midlothian,Female,40 - 49,6098.0,Dose 1,19,0.311577566415218,19,0.311577566415218
20201208,Midlothian,Female,50 - 54,3478.0,Dose 1,16,0.460034502587694,16,0.460034502587694
20201208,Midlothian,Female,55 - 59,3391.0,Dose 1,23,0.6782659982306101,23,0.6782659982306101
20201208,Midlothian,Female,60 - 64,2989.0,Dose 1,9,0.30110404817664804,9,0.30110404817664804
20201208,Midlothian,Female,65 - 69,2638.0,Dose 1,3,0.113722517058378,3,0.113722517058378
20201208,Midlothian,Female,70 - 74,2612.0,Dose 1,0,0.0,0,0.0
20201208,Midlothian,Female,75 - 79,1804.0,Dose 1,0,0.0,0,0.0
20201208,Midlothian,Female,80 years and over,2471.0,Dose 1,0,0.0,0,0.0
20201208,Midlothian,Male,18 - 29,6022.0,Dose 1,1,0.0166057788110262,1,0.0166057788110262
20201208,Midlothian,Male,18 years and over,34377.0,Dose 1,22,0.0639962765802717,22,0.0639962765802717
20201208,Midlothian,Male,30 - 39,5792.0,Dose 1,3,0.0517955801104972,3,0.0517955801104972
20201208,Midlothian,Male,40 - 49,5696.0,Dose 1,8,0.14044943820224698,8,0.14044943820224698
20201208,Midlothian,Male,50 - 54,3160.0,Dose 1,1,0.0316455696202532,1,0.0316455696202532
20201208,Midlothian,Male,55 - 59,3123.0,Dose 1,4,0.128081972462376,4,0.128081972462376
20201208,Midlothian,Male,60 - 64,2726.0,Dose 1,3,0.11005135730007302,3,0.11005135730007302
20201208,Midlothian,Male,65 - 69,2461.0,Dose 1,2,0.0812677773262901,2,0.0812677773262901
20201208,Midlothian,Male,70 - 74,2313.0,Dose 1,0,0.0,0,0.0
20201208,Midlothian,Male,75 - 79,1464.0,Dose 1,0,0.0,0,0.0
20201208,Midlothian,Male,80 years and over,1620.0,Dose 1,0,0.0,0,0.0
20201208,Midlothian,Total,18 - 29,12302.0,Dose 1,14,0.11380263371809499,14,0.11380263371809499
20201208,Midlothian,Total,18 years and over,72626.0,Dose 1,124,0.170737752320106,124,0.170737752320106
20201208,Midlothian,Total,30 - 39,12280.0,Dose 1,22,0.17915309446254102,22,0.17915309446254102
20201208,Midlothian,Total,40 - 49,11794.0,Dose 1,27,0.228929964388672,27,0.228929964388672
20201208,Midlothian,Total,50 - 54,6638.0,Dose 1,17,0.256101235311841,17,0.256101235311841
20201208,Midlothian,Total,50 years and over,36250.0,Dose 1,61,0.168275862068966,61,0.168275862068966
20201208,Midlothian,Total,55 - 59,6514.0,Dose 1,27,0.41449186367823204,27,0.41449186367823204
20201208,Midlothian,Total,60 - 64,5715.0,Dose 1,12,0.20997375328084,12,0.20997375328084
20201208,Midlothian,Total,65 - 69,5099.0,Dose 1,5,0.0980584428319278,5,0.0980584428319278
20201208,Midlothian,Total,70 - 74,4925.0,Dose 1,0,0.0,0,0.0
20201208,Midlothian,Total,75 - 79,3268.0,Dose 1,0,0.0,0,0.0
20201208,Midlothian,Total,80 years and over,4091.0,Dose 1,0,0.0,0,0.0
20201208,Midlothian,Female,18 - 29,6280.0,Dose 2,0,0.0,0,0.0
20201208,Midlothian,Female,18 years and over,38249.0,Dose 2,0,0.0,0,0.0
20201208,Midlothian,Female,30 - 39,6488.0,Dose 2,0,0.0,0,0.0
20201208,Midlothian,Female,40 - 49,6098.0,Dose 2,0,0.0,0,0.0
20201208,Midlothian,Female,50 - 54,3478.0,Dose 2,0,0.0,0,0.0
20201208,Midlothian,Female,55 - 59,3391.0,Dose 2,0,0.0,0,0.0
20201208,Midlothian,Female,60 - 64,2989.0,Dose 2,0,0.0,0,0.0
20201208,Midlothian,Female,65 - 69,2638.0,Dose 2,0,0.0,0,0.0
20201208,Midlothian,Female,70 - 74,2612.0,Dose 2,0,0.0,0,0.0
20201208,Midlothian,Female,75 - 79,1804.0,Dose 2,0,0.0,0,0.0
20201208,Midlothian,Female,80 years and over,2471.0,Dose 2,0,0.0,0,0.0
20201208,Midlothian,Male,18 - 29,6022.0,Dose 2,0,0.0,0,0.0
20201208,Midlothian,Male,18 years and over,34377.0,Dose 2,0,0.0,0,0.0
20201208,Midlothian,Male,30 - 39,5792.0,Dose 2,0,0.0,0,0.0
20201208,Midlothian,Male,40 - 49,5696.0,Dose 2,0,0.0,0,0.0
20201208,Midlothian,Male,50 - 54,3160.0,Dose 2,0,0.0,0,0.0
20201208,Midlothian,Male,55 - 59,3123.0,Dose 2,0,0.0,0,0.0
20201208,Midlothian,Male,60 - 64,2726.0,Dose 2,0,0.0,0,0.0
20201208,Midlothian,Male,65 - 69,2461.0,Dose 2,0,0.0,0,0.0
20201208,Midlothian,Male,70 - 74,2313.0,Dose 2,0,0.0,0,0.0
20201208,Midlothian,Male,75 - 79,1464.0,Dose 2,0,0.0,0,0.0
20201208,Midlothian,Male,80 years and over,1620.0,Dose 2,0,0.0,0,0.0
20201208,Midlothian,Total,18 - 29,12302.0,Dose 2,0,0.0,0,0.0
20201208,Midlothian,Total,18 years and over,72626.0,Dose 2,0,0.0,0,0.0
20201208,Midlothian,Total,30 - 39,12280.0,Dose 2,0,0.0,0,0.0
20201208,Midlothian,Total,40 - 49,11794.0,Dose 2,0,0.0,0,0.0
20201208,Midlothian,Total,50 - 54,6638.0,Dose 2,0,0.0,0,0.0
20201208,Midlothian,Total,50 years and over,36250.0,Dose 2,0,0.0,0,0.0
20201208,Midlothian,Total,55 - 59,6514.0,Dose 2,0,0.0,0,0.0
20201208,Midlothian,Total,60 - 64,5715.0,Dose 2,0,0.0,0,0.0
20201208,Midlothian,Total,65 - 69,5099.0,Dose 2,0,0.0,0,0.0
20201208,Midlothian,Total,70 - 74,4925.0,Dose 2,0,0.0,0,0.0
20201208,Midlothian,Total,75 - 79,3268.0,Dose 2,0,0.0,0,0.0
20201208,Midlothian,Total,80 years and over,4091.0,Dose 2,0,0.0,0,0.0
20201209,Midlothian,Female,18 - 29,6280.0,Dose 1,16,0.254777070063694,29,0.4617834394904461
20201209,Midlothian,Female,18 years and over,38249.0,Dose 1,151,0.394781562916678,253,0.661455201443175
20201209,Midlothian,Female,30 - 39,6488.0,Dose 1,38,0.585696670776819,57,0.878545006165228
20201209,Midlothian,Female,40 - 49,6098.0,Dose 1,33,0.5411610364053789,52,0.852738602820597
20201209,Midlothian,Female,50 - 54,3478.0,Dose 1,23,0.66129959746981,39,1.1213341000575
20201209,Midlothian,Female,55 - 59,3391.0,Dose 1,18,0.530816868180478,41,1.20908286641109
20201209,Midlothian,Female,60 - 64,2989.0,Dose 1,19,0.635664101706256,28,0.936768149882904
20201209,Midlothian,Female,65 - 69,2638.0,Dose 1,3,0.113722517058378,6,0.227445034116755
20201209,Midlothian,Female,70 - 74,2612.0,Dose 1,1,0.0382848392036753,1,0.0382848392036753
20201209,Midlothian,Female,75 - 79,1804.0,Dose 1,0,0.0,0,0.0
20201209,Midlothian,Female,80 years and over,2471.0,Dose 1,0,0.0,0,0.0
20201209,Midlothian,Male,18 - 29,6022.0,Dose 1,3,0.0498173364330787,4,0.066423115244105
20201209,Midlothian,Male,18 years and over,34377.0,Dose 1,42,0.122174709835064,64,0.18617098641533603
20201209,Midlothian,Male,30 - 39,5792.0,Dose 1,8,0.13812154696132597,11,0.18991712707182298
20201209,Midlothian,Male,40 - 49,5696.0,Dose 1,15,0.263342696629214,23,0.40379213483146104
20201209,Midlothian,Male,50 - 54,3160.0,Dose 1,7,0.22151898734177203,8,0.253164556962025
20201209,Midlothian,Male,55 - 59,3123.0,Dose 1,3,0.0960614793467819,7,0.22414345180915804
20201209,Midlothian,Male,60 - 64,2726.0,Dose 1,4,0.146735143066764,7,0.25678650036683803
20201209,Midlothian,Male,65 - 69,2461.0,Dose 1,2,0.0812677773262901,4,0.16253555465258
20201209,Midlothian,Male,70 - 74,2313.0,Dose 1,0,0.0,0,0.0
20201209,Midlothian,Male,75 - 79,1464.0,Dose 1,0,0.0,0,0.0
20201209,Midlothian,Male,80 years and over,1620.0,Dose 1,0,0.0,0,0.0
