Date,CAName,Sex,AgeGroup,Population,Dose,NumberVaccinated,PercentCoverage,CumulativeNumberVaccinated,CumulativePercentCoverage
20201208,Moray,Female,18 - 29,5783.0,Dose 1,0,0.0,0,0.0
20201208,Moray,Female,18 years and over,39403.0,Dose 1,1,0.00253787782656143,1,0.00253787782656143
20201208,Moray,Female,30 - 39,5676.0,Dose 1,0,0.0,0,0.0
20201208,Moray,Female,40 - 49,6142.0,Dose 1,1,0.0162813415825464,1,0.0162813415825464
20201208,Moray,Female,50 - 54,3684.0,Dose 1,0,0.0,0,0.0
20201208,Moray,Female,55 - 59,3565.0,Dose 1,0,0.0,0,0.0
20201208,Moray,Female,60 - 64,3285.0,Dose 1,0,0.0,0,0.0
20201208,Moray,Female,65 - 69,2988.0,Dose 1,0,0.0,0,0.0
20201208,Moray,Female,70 - 74,2940.0,Dose 1,0,0.0,0,0.0
20201208,Moray,Female,75 - 79,2132.0,Dose 1,0,0.0,0,0.0
20201208,Moray,Female,80 years and over,3208.0,Dose 1,0,0.0,0,0.0
20201208,Moray,Male,18 - 29,6753.0,Dose 1,0,0.0,0,0.0
20201208,Moray,Male,18 years and over,38124.0,Dose 1,0,0.0,0,0.0
20201208,Moray,Male,30 - 39,5556.0,Dose 1,0,0.0,0,0.0
20201208,Moray,Male,40 - 49,5999.0,Dose 1,0,0.0,0,0.0
20201208,Moray,Male,50 - 54,3660.0,Dose 1,0,0.0,0,0.0
20201208,Moray,Male,55 - 59,3565.0,Dose 1,0,0.0,0,0.0
20201208,Moray,Male,60 - 64,3143.0,Dose 1,0,0.0,0,0.0
20201208,Moray,Male,65 - 69,2840.0,Dose 1,0,0.0,0,0.0
20201208,Moray,Male,70 - 74,2525.0,Dose 1,0,0.0,0,0.0
20201208,Moray,Male,75 - 79,1821.0,Dose 1,0,0.0,0,0.0
20201208,Moray,Male,80 years and over,2262.0,Dose 1,0,0.0,0,0.0
20201208,Moray,Total,18 - 29,12536.0,Dose 1,0,0.0,0,0.0
20201208,Moray,Total,18 years and over,77527.0,Dose 1,1,0.0012898732054639,1,0.0012898732054639
20201208,Moray,Total,30 - 39,11232.0,Dose 1,0,0.0,0,0.0
20201208,Moray,Total,40 - 49,12141.0,Dose 1,1,0.00823655382587925,1,0.00823655382587925
20201208,Moray,Total,50 - 54,7344.0,Dose 1,0,0.0,0,0.0
20201208,Moray,Total,50 years and over,41618.0,Dose 1,0,0.0,0,0.0
20201208,Moray,Total,55 - 59,7130.0,Dose 1,0,0.0,0,0.0
20201208,Moray,Total,60 - 64,6428.0,Dose 1,0,0.0,0,0.0
20201208,Moray,Total,65 - 69,5828.0,Dose 1,0,0.0,0,0.0
20201208,Moray,Total,70 - 74,5465.0,Dose 1,0,0.0,0,0.0
20201208,Moray,Total,75 - 79,3953.0,Dose 1,0,0.0,0,0.0
20201208,Moray,Total,80 years and over,5470.0,Dose 1,0,0.0,0,0.0
20201208,Moray,Female,18 - 29,5783.0,Dose 2,0,0.0,0,0.0
20201208,Moray,Female,18 years and over,39403.0,Dose 2,0,0.0,0,0.0
20201208,Moray,Female,30 - 39,5676.0,Dose 2,0,0.0,0,0.0
20201208,Moray,Female,40 - 49,6142.0,Dose 2,0,0.0,0,0.0
20201208,Moray,Female,50 - 54,3684.0,Dose 2,0,0.0,0,0.0
20201208,Moray,Female,55 - 59,3565.0,Dose 2,0,0.0,0,0.0
20201208,Moray,Female,60 - 64,3285.0,Dose 2,0,0.0,0,0.0
20201208,Moray,Female,65 - 69,2988.0,Dose 2,0,0.0,0,0.0
20201208,Moray,Female,70 - 74,2940.0,Dose 2,0,0.0,0,0.0
20201208,Moray,Female,75 - 79,2132.0,Dose 2,0,0.0,0,0.0
20201208,Moray,Female,80 years and over,3208.0,Dose 2,0,0.0,0,0.0
20201208,Moray,Male,18 - 29,6753.0,Dose 2,0,0.0,0,0.0
20201208,Moray,Male,18 years and over,38124.0,Dose 2,0,0.0,0,0.0
20201208,Moray,Male,30 - 39,5556.0,Dose 2,0,0.0,0,0.0
20201208,Moray,Male,40 - 49,5999.0,Dose 2,0,0.0,0,0.0
20201208,Moray,Male,50 - 54,3660.0,Dose 2,0,0.0,0,0.0
20201208,Moray,Male,55 - 59,3565.0,Dose 2,0,0.0,0,0.0
20201208,Moray,Male,60 - 64,3143.0,Dose 2,0,0.0,0,0.0
20201208,Moray,Male,65 - 69,2840.0,Dose 2,0,0.0,0,0.0
20201208,Moray,Male,70 - 74,2525.0,Dose 2,0,0.0,0,0.0
20201208,Moray,Male,75 - 79,1821.0,Dose 2,0,0.0,0,0.0
20201208,Moray,Male,80 years and over,2262.0,Dose 2,0,0.0,0,0.0
20201208,Moray,Total,18 - 29,12536.0,Dose 2,0,0.0,0,0.0
20201208,Moray,Total,18 years and over,77527.0,Dose 2,0,0.0,0,0.0
20201208,Moray,Total,30 - 39,11232.0,Dose 2,0,0.0,0,0.0
20201208,Moray,Total,40 - 49,12141.0,Dose 2,0,0.0,0,0.0
20201208,Moray,Total,50 - 54,7344.0,Dose 2,0,0.0,0,0.0
20201208,Moray,Total,50 years and over,41618.0,Dose 2,0,0.0,0,0.0
20201208,Moray,Total,55 - 59,7130.0,Dose 2,0,0.0,0,0.0
20201208,Moray,Total,60 - 64,6428.0,Dose 2,0,0.0,0,0.0
20201208,Moray,Total,65 - 69,5828.0,Dose 2,0,0.0,0,0.0
20201208,Moray,Total,70 - 74,5465.0,Dose 2,0,0.0,0,0.0
20201208,Moray,Total,75 - 79,3953.0,Dose 2,0,0.0,0,0.0
20201208,Moray,Total,80 years and over,5470.0,Dose 2,0,0.0,0,0.0
20201209,Moray,Female,18 - 29,5783.0,Dose 1,0,0.0,0,0.0
20201209,Moray,Female,18 years and over,39403.0,Dose 1,3,0.00761363347968429,4,0.0101515113062457
20201209,Moray,Female,30 - 39,5676.0,Dose 1,2,0.0352360817477097,2,0.0352360817477097
20201209,Moray,Female,40 - 49,6142.0,Dose 1,0,0.0,1,0.0162813415825464
20201209,Moray,Female,50 - 54,3684.0,Dose 1,0,0.0,0,0.0
20201209,Moray,Female,55 - 59,3565.0,Dose 1,1,0.0280504908835905,1,0.0280504908835905
20201209,Moray,Female,60 - 64,3285.0,Dose 1,0,0.0,0,0.0
20201209,Moray,Female,65 - 69,2988.0,Dose 1,0,0.0,0,0.0
20201209,Moray,Female,70 - 74,2940.0,Dose 1,0,0.0,0,0.0
20201209,Moray,Female,75 - 79,2132.0,Dose 1,0,0.0,0,0.0
20201209,Moray,Female,80 years and over,3208.0,Dose 1,0,0.0,0,0.0
20201209,Moray,Male,18 - 29,6753.0,Dose 1,0,0.0,0,0.0
20201209,Moray,Male,18 years and over,38124.0,Dose 1,0,0.0,0,0.0
20201209,Moray,Male,30 - 39,5556.0,Dose 1,0,0.0,0,0.0
20201209,Moray,Male,40 - 49,5999.0,Dose 1,0,0.0,0,0.0
20201209,Moray,Male,50 - 54,3660.0,Dose 1,0,0.0,0,0.0
20201209,Moray,Male,55 - 59,3565.0,Dose 1,0,0.0,0,0.0
20201209,Moray,Male,60 - 64,3143.0,Dose 1,0,0.0,0,0.0
20201209,Moray,Male,65 - 69,2840.0,Dose 1,0,0.0,0,0.0
20201209,Moray,Male,70 - 74,2525.0,Dose 1,0,0.0,0,0.0
20201209,Moray,Male,75 - 79,1821.0,Dose 1,0,0.0,0,0.0
20201209,Moray,Male,80 years and over,2262.0,Dose 1,0,0.0,0,0.0
20201209,Moray,Total,18 - 29,12536.0,Dose 1,0,0.0,0,0.0
20201209,Moray,Total,18 years and over,77527.0,Dose 1,3,0.00386961961639171,4,0.00515949282185561
20201209,Moray,Total,30 - 39,11232.0,Dose 1,2,0.0178062678062678,2,0.0178062678062678
20201209,Moray,Total,40 - 49,12141.0,Dose 1,0,0.0,1,0.00823655382587925
20201209,Moray,Total,50 - 54,7344.0,Dose 1,0,0.0,0,0.0
20201209,Moray,Total,50 years and over,41618.0,Dose 1,1,0.0024028064779662603,1,0.0024028064779662603
20201209,Moray,Total,55 - 59,7130.0,Dose 1,1,0.0140252454417952,1,0.0140252454417952
20201209,Moray,Total,60 - 64,6428.0,Dose 1,0,0.0,0,0.0
20201209,Moray,Total,65 - 69,5828.0,Dose 1,0,0.0,0,0.0
20201209,Moray,Total,70 - 74,5465.0,Dose 1,0,0.0,0,0.0
20201209,Moray,Total,75 - 79,3953.0,Dose 1,0,0.0,0,0.0
20201209,Moray,Total,80 years and over,5470.0,Dose 1,0,0.0,0,0.0
20201209,Moray,Female,18 - 29,5783.0,Dose 2,0,0.0,0,0.0
20201209,Moray,Female,18 years and over,39403.0,Dose 2,0,0.0,0,0.0
20201209,Moray,Female,30 - 39,5676.0,Dose 2,0,0.0,0,0.0
20201209,Moray,Female,40 - 49,6142.0,Dose 2,0,0.0,0,0.0
20201209,Moray,Female,50 - 54,3684.0,Dose 2,0,0.0,0,0.0
20201209,Moray,Female,55 - 59,3565.0,Dose 2,0,0.0,0,0.0
20201209,Moray,Female,60 - 64,3285.0,Dose 2,0,0.0,0,0.0
20201209,Moray,Female,65 - 69,2988.0,Dose 2,0,0.0,0,0.0
20201209,Moray,Female,70 - 74,2940.0,Dose 2,0,0.0,0,0.0
20201209,Moray,Female,75 - 79,2132.0,Dose 2,0,0.0,0,0.0
20201209,Moray,Female,80 years and over,3208.0,Dose 2,0,0.0,0,0.0
20201209,Moray,Male,18 - 29,6753.0,Dose 2,0,0.0,0,0.0
20201209,Moray,Male,18 years and over,38124.0,Dose 2,0,0.0,0,0.0
20201209,Moray,Male,30 - 39,5556.0,Dose 2,0,0.0,0,0.0
20201209,Moray,Male,40 - 49,5999.0,Dose 2,0,0.0,0,0.0
20201209,Moray,Male,50 - 54,3660.0,Dose 2,0,0.0,0,0.0
20201209,Moray,Male,55 - 59,3565.0,Dose 2,0,0.0,0,0.0
20201209,Moray,Male,60 - 64,3143.0,Dose 2,0,0.0,0,0.0
20201209,Moray,Male,65 - 69,2840.0,Dose 2,0,0.0,0,0.0
20201209,Moray,Male,70 - 74,2525.0,Dose 2,0,0.0,0,0.0
20201209,Moray,Male,75 - 79,1821.0,Dose 2,0,0.0,0,0.0
20201209,Moray,Male,80 years and over,2262.0,Dose 2,0,0.0,0,0.0
