Date,CAName,Sex,AgeGroup,Population,Dose,NumberVaccinated,PercentCoverage,CumulativeNumberVaccinated,CumulativePercentCoverage
20201208,North Ayrshire,Female,18 - 29,8880.0,Dose 1,5,0.0563063063063063,5,0.0563063063063063
20201208,North Ayrshire,Female,18 years and over,58236.0,Dose 1,43,0.0738374888385191,43,0.0738374888385191
20201208,North Ayrshire,Female,30 - 39,7607.0,Dose 1,12,0.157749441304062,12,0.157749441304062
20201208,North Ayrshire,Female,40 - 49,8684.0,Dose 1,8,0.0921234454168586,8,0.0921234454168586
20201208,North Ayrshire,Female,50 - 54,5591.0,Dose 1,6,0.10731532820604499,6,0.10731532820604499
20201208,North Ayrshire,Female,55 - 59,5534.0,Dose 1,8,0.14456089627755703,8,0.14456089627755703
20201208,North Ayrshire,Female,60 - 64,5073.0,Dose 1,4,0.0788488074117879,4,0.0788488074117879
20201208,North Ayrshire,Female,65 - 69,4573.0,Dose 1,0,0.0,0,0.0
20201208,North Ayrshire,Female,70 - 74,4510.0,Dose 1,0,0.0,0,0.0
20201208,North Ayrshire,Female,75 - 79,3338.0,Dose 1,0,0.0,0,0.0
20201208,North Ayrshire,Female,80 years and over,4446.0,Dose 1,0,0.0,0,0.0
20201208,North Ayrshire,Male,18 - 29,9272.0,Dose 1,0,0.0,0,0.0
20201208,North Ayrshire,Male,18 years and over,51190.0,Dose 1,5,0.00976753272123462,5,0.00976753272123462
20201208,North Ayrshire,Male,30 - 39,6507.0,Dose 1,1,0.0153680651605963,1,0.0153680651605963
20201208,North Ayrshire,Male,40 - 49,7233.0,Dose 1,1,0.0138255219134522,1,0.0138255219134522
20201208,North Ayrshire,Male,50 - 54,4843.0,Dose 1,1,0.0206483584555028,1,0.0206483584555028
20201208,North Ayrshire,Male,55 - 59,5033.0,Dose 1,1,0.0198688654877806,1,0.0198688654877806
20201208,North Ayrshire,Male,60 - 64,4637.0,Dose 1,0,0.0,0,0.0
20201208,North Ayrshire,Male,65 - 69,4127.0,Dose 1,0,0.0,0,0.0
20201208,North Ayrshire,Male,70 - 74,3973.0,Dose 1,1,0.0251698968034231,1,0.0251698968034231
20201208,North Ayrshire,Male,75 - 79,2704.0,Dose 1,0,0.0,0,0.0
20201208,North Ayrshire,Male,80 years and over,2861.0,Dose 1,0,0.0,0,0.0
20201208,North Ayrshire,Total,18 - 29,18152.0,Dose 1,5,0.0275451740855002,5,0.0275451740855002
20201208,North Ayrshire,Total,18 years and over,109426.0,Dose 1,48,0.0438652605413704,48,0.0438652605413704
20201208,North Ayrshire,Total,30 - 39,14114.0,Dose 1,13,0.0921071276746493,13,0.0921071276746493
20201208,North Ayrshire,Total,40 - 49,15917.0,Dose 1,9,0.0565433184645348,9,0.0565433184645348
20201208,North Ayrshire,Total,50 - 54,10434.0,Dose 1,7,0.0670883649607054,7,0.0670883649607054
20201208,North Ayrshire,Total,50 years and over,61243.0,Dose 1,21,0.0342896331009258,21,0.0342896331009258
20201208,North Ayrshire,Total,55 - 59,10567.0,Dose 1,9,0.0851708148007949,9,0.0851708148007949
20201208,North Ayrshire,Total,60 - 64,9710.0,Dose 1,4,0.0411946446961895,4,0.0411946446961895
20201208,North Ayrshire,Total,65 - 69,8700.0,Dose 1,0,0.0,0,0.0
20201208,North Ayrshire,Total,70 - 74,8483.0,Dose 1,1,0.0117882824472474,1,0.0117882824472474
20201208,North Ayrshire,Total,75 - 79,6042.0,Dose 1,0,0.0,0,0.0
20201208,North Ayrshire,Total,80 years and over,7307.0,Dose 1,0,0.0,0,0.0
20201208,North Ayrshire,Female,18 - 29,8880.0,Dose 2,0,0.0,0,0.0
20201208,North Ayrshire,Female,18 years and over,58236.0,Dose 2,0,0.0,0,0.0
20201208,North Ayrshire,Female,30 - 39,7607.0,Dose 2,0,0.0,0,0.0
20201208,North Ayrshire,Female,40 - 49,8684.0,Dose 2,0,0.0,0,0.0
20201208,North Ayrshire,Female,50 - 54,5591.0,Dose 2,0,0.0,0,0.0
20201208,North Ayrshire,Female,55 - 59,5534.0,Dose 2,0,0.0,0,0.0
20201208,North Ayrshire,Female,60 - 64,5073.0,Dose 2,0,0.0,0,0.0
20201208,North Ayrshire,Female,65 - 69,4573.0,Dose 2,0,0.0,0,0.0
20201208,North Ayrshire,Female,70 - 74,4510.0,Dose 2,0,0.0,0,0.0
20201208,North Ayrshire,Female,75 - 79,3338.0,Dose 2,0,0.0,0,0.0
20201208,North Ayrshire,Female,80 years and over,4446.0,Dose 2,0,0.0,0,0.0
20201208,North Ayrshire,Male,18 - 29,9272.0,Dose 2,0,0.0,0,0.0
20201208,North Ayrshire,Male,18 years and over,51190.0,Dose 2,0,0.0,0,0.0
20201208,North Ayrshire,Male,30 - 39,6507.0,Dose 2,0,0.0,0,0.0
20201208,North Ayrshire,Male,40 - 49,7233.0,Dose 2,0,0.0,0,0.0
20201208,North Ayrshire,Male,50 - 54,4843.0,Dose 2,0,0.0,0,0.0
20201208,North Ayrshire,Male,55 - 59,5033.0,Dose 2,0,0.0,0,0.0
20201208,North Ayrshire,Male,60 - 64,4637.0,Dose 2,0,0.0,0,0.0
20201208,North Ayrshire,Male,65 - 69,4127.0,Dose 2,0,0.0,0,0.0
20201208,North Ayrshire,Male,70 - 74,3973.0,Dose 2,0,0.0,0,0.0
