Date,CAName,Sex,AgeGroup,Population,Dose,NumberVaccinated,PercentCoverage,CumulativeNumberVaccinated,CumulativePercentCoverage
20201208,North Lanarkshire,Female,18 - 29,24241.0,Dose 1,3,0.0123757270739656,3,0.0123757270739656
20201208,North Lanarkshire,Female,18 years and over,141576.0,Dose 1,31,0.0218963666158106,31,0.0218963666158106
20201208,North Lanarkshire,Female,30 - 39,23153.0,Dose 1,10,0.0431909471774716,10,0.0431909471774716
20201208,North Lanarkshire,Female,40 - 49,23330.0,Dose 1,8,0.0342906129447064,8,0.0342906129447064
20201208,North Lanarkshire,Female,50 - 54,13826.0,Dose 1,4,0.028930999566035,4,0.028930999566035
20201208,North Lanarkshire,Female,55 - 59,12901.0,Dose 1,4,0.0310053484226029,4,0.0310053484226029
20201208,North Lanarkshire,Female,60 - 64,11131.0,Dose 1,1,0.00898391878537418,1,0.00898391878537418
20201208,North Lanarkshire,Female,65 - 69,9465.0,Dose 1,0,0.0,0,0.0
20201208,North Lanarkshire,Female,70 - 74,8503.0,Dose 1,0,0.0,0,0.0
20201208,North Lanarkshire,Female,75 - 79,6310.0,Dose 1,0,0.0,0,0.0
20201208,North Lanarkshire,Female,80 years and over,8716.0,Dose 1,1,0.0114731528223956,1,0.0114731528223956
20201208,North Lanarkshire,Male,18 - 29,25092.0,Dose 1,0,0.0,0,0.0
20201208,North Lanarkshire,Male,18 years and over,129275.0,Dose 1,6,0.004641268613420999,6,0.004641268613420999
20201208,North Lanarkshire,Male,30 - 39,21300.0,Dose 1,2,0.00938967136150235,2,0.00938967136150235
20201208,North Lanarkshire,Male,40 - 49,21865.0,Dose 1,1,0.00457351932311914,1,0.00457351932311914
20201208,North Lanarkshire,Male,50 - 54,12944.0,Dose 1,1,0.007725587144622991,1,0.007725587144622991
20201208,North Lanarkshire,Male,55 - 59,11993.0,Dose 1,1,0.008338197281747691,1,0.008338197281747691
20201208,North Lanarkshire,Male,60 - 64,9976.0,Dose 1,0,0.0,0,0.0
20201208,North Lanarkshire,Male,65 - 69,8511.0,Dose 1,0,0.0,0,0.0
20201208,North Lanarkshire,Male,70 - 74,7419.0,Dose 1,0,0.0,0,0.0
20201208,North Lanarkshire,Male,75 - 79,4913.0,Dose 1,0,0.0,0,0.0
20201208,North Lanarkshire,Male,80 years and over,5262.0,Dose 1,1,0.0190041809198024,1,0.0190041809198024
20201208,North Lanarkshire,Total,18 - 29,49333.0,Dose 1,3,0.00608112216974439,3,0.00608112216974439
20201208,North Lanarkshire,Total,18 years and over,270851.0,Dose 1,37,0.0136606473670025,37,0.0136606473670025
20201208,North Lanarkshire,Total,30 - 39,44453.0,Dose 1,12,0.0269948035003262,12,0.0269948035003262
20201208,North Lanarkshire,Total,40 - 49,45195.0,Dose 1,9,0.0199137072685032,9,0.0199137072685032
20201208,North Lanarkshire,Total,50 - 54,26770.0,Dose 1,5,0.018677624206201,5,0.018677624206201
20201208,North Lanarkshire,Total,50 years and over,131870.0,Dose 1,13,0.0098581936755896,13,0.0098581936755896
20201208,North Lanarkshire,Total,55 - 59,24894.0,Dose 1,5,0.0200851610829919,5,0.0200851610829919
20201208,North Lanarkshire,Total,60 - 64,21107.0,Dose 1,1,0.00473776472260388,1,0.00473776472260388
20201208,North Lanarkshire,Total,65 - 69,17976.0,Dose 1,0,0.0,0,0.0
20201208,North Lanarkshire,Total,70 - 74,15922.0,Dose 1,0,0.0,0,0.0
20201208,North Lanarkshire,Total,75 - 79,11223.0,Dose 1,0,0.0,0,0.0
20201208,North Lanarkshire,Total,80 years and over,13978.0,Dose 1,2,0.0143081985977965,2,0.0143081985977965
20201208,North Lanarkshire,Female,18 - 29,24241.0,Dose 2,0,0.0,0,0.0
20201208,North Lanarkshire,Female,18 years and over,141576.0,Dose 2,0,0.0,0,0.0
20201208,North Lanarkshire,Female,30 - 39,23153.0,Dose 2,0,0.0,0,0.0
20201208,North Lanarkshire,Female,40 - 49,23330.0,Dose 2,0,0.0,0,0.0
20201208,North Lanarkshire,Female,50 - 54,13826.0,Dose 2,0,0.0,0,0.0
20201208,North Lanarkshire,Female,55 - 59,12901.0,Dose 2,0,0.0,0,0.0
20201208,North Lanarkshire,Female,60 - 64,11131.0,Dose 2,0,0.0,0,0.0
20201208,North Lanarkshire,Female,65 - 69,9465.0,Dose 2,0,0.0,0,0.0
20201208,North Lanarkshire,Female,70 - 74,8503.0,Dose 2,0,0.0,0,0.0
