Date,CAName,Sex,AgeGroup,Population,Dose,NumberVaccinated,PercentCoverage,CumulativeNumberVaccinated,CumulativePercentCoverage
20201208,Perth and Kinross,Female,18 - 29,8787.0,Dose 1,2,0.0227608967793331,2,0.0227608967793331
20201208,Perth and Kinross,Female,18 years and over,63767.0,Dose 1,15,0.0235231389276585,15,0.0235231389276585
20201208,Perth and Kinross,Female,30 - 39,8828.0,Dose 1,0,0.0,0,0.0
20201208,Perth and Kinross,Female,40 - 49,9444.0,Dose 1,5,0.0529436679373147,5,0.0529436679373147
20201208,Perth and Kinross,Female,50 - 54,6131.0,Dose 1,2,0.0326211058554885,2,0.0326211058554885
20201208,Perth and Kinross,Female,55 - 59,5851.0,Dose 1,2,0.0341821910784481,2,0.0341821910784481
20201208,Perth and Kinross,Female,60 - 64,5394.0,Dose 1,3,0.0556173526140156,3,0.0556173526140156
20201208,Perth and Kinross,Female,65 - 69,5039.0,Dose 1,0,0.0,0,0.0
20201208,Perth and Kinross,Female,70 - 74,4806.0,Dose 1,1,0.0208073241781107,1,0.0208073241781107
20201208,Perth and Kinross,Female,75 - 79,3600.0,Dose 1,0,0.0,0,0.0
20201208,Perth and Kinross,Female,80 years and over,5887.0,Dose 1,0,0.0,0,0.0
20201208,Perth and Kinross,Male,18 - 29,10195.0,Dose 1,0,0.0,0,0.0
20201208,Perth and Kinross,Male,18 years and over,60527.0,Dose 1,11,0.0181737076015662,11,0.0181737076015662
20201208,Perth and Kinross,Male,30 - 39,8558.0,Dose 1,2,0.0233699462491236,2,0.0233699462491236
20201208,Perth and Kinross,Male,40 - 49,8769.0,Dose 1,1,0.0114038088721633,1,0.0114038088721633
20201208,Perth and Kinross,Male,50 - 54,5666.0,Dose 1,5,0.0882456759618779,5,0.0882456759618779
20201208,Perth and Kinross,Male,55 - 59,5689.0,Dose 1,1,0.0175777816839515,1,0.0175777816839515
20201208,Perth and Kinross,Male,60 - 64,5148.0,Dose 1,1,0.0194250194250194,1,0.0194250194250194
20201208,Perth and Kinross,Male,65 - 69,4836.0,Dose 1,0,0.0,0,0.0
20201208,Perth and Kinross,Male,70 - 74,4494.0,Dose 1,1,0.0222518914107699,1,0.0222518914107699
20201208,Perth and Kinross,Male,75 - 79,3097.0,Dose 1,0,0.0,0,0.0
20201208,Perth and Kinross,Male,80 years and over,4075.0,Dose 1,0,0.0,0,0.0
20201208,Perth and Kinross,Total,18 - 29,18982.0,Dose 1,2,0.0105362975450427,2,0.0105362975450427
20201208,Perth and Kinross,Total,18 years and over,124294.0,Dose 1,26,0.0209181456868393,26,0.0209181456868393
20201208,Perth and Kinross,Total,30 - 39,17386.0,Dose 1,2,0.0115035085701139,2,0.0115035085701139
20201208,Perth and Kinross,Total,40 - 49,18213.0,Dose 1,6,0.0329435018942514,6,0.0329435018942514
20201208,Perth and Kinross,Total,50 - 54,11797.0,Dose 1,7,0.0593371196066797,7,0.0593371196066797
20201208,Perth and Kinross,Total,50 years and over,69713.0,Dose 1,16,0.0229512429532512,16,0.0229512429532512
20201208,Perth and Kinross,Total,55 - 59,11540.0,Dose 1,3,0.0259965337954939,3,0.0259965337954939
20201208,Perth and Kinross,Total,60 - 64,10542.0,Dose 1,4,0.037943464238285006,4,0.037943464238285006
20201208,Perth and Kinross,Total,65 - 69,9875.0,Dose 1,0,0.0,0,0.0
20201208,Perth and Kinross,Total,70 - 74,9300.0,Dose 1,2,0.021505376344086002,2,0.021505376344086002
20201208,Perth and Kinross,Total,75 - 79,6697.0,Dose 1,0,0.0,0,0.0
20201208,Perth and Kinross,Total,80 years and over,9962.0,Dose 1,0,0.0,0,0.0
20201208,Perth and Kinross,Female,18 - 29,8787.0,Dose 2,0,0.0,0,0.0
20201208,Perth and Kinross,Female,18 years and over,63767.0,Dose 2,0,0.0,0,0.0
20201208,Perth and Kinross,Female,30 - 39,8828.0,Dose 2,0,0.0,0,0.0
20201208,Perth and Kinross,Female,40 - 49,9444.0,Dose 2,0,0.0,0,0.0
20201208,Perth and Kinross,Female,50 - 54,6131.0,Dose 2,0,0.0,0,0.0
