Date,CAName,Sex,AgeGroup,Population,Dose,NumberVaccinated,PercentCoverage,CumulativeNumberVaccinated,CumulativePercentCoverage
20201208,Renfrewshire,Female,18 - 29,13035.0,Dose 1,3,0.0230149597238205,3,0.0230149597238205
20201208,Renfrewshire,Female,18 years and over,75873.0,Dose 1,10,0.0131799190752969,10,0.0131799190752969
20201208,Renfrewshire,Female,30 - 39,11757.0,Dose 1,1,0.008505571149102659,1,0.008505571149102659
20201208,Renfrewshire,Female,40 - 49,11676.0,Dose 1,3,0.025693730729702,3,0.025693730729702
20201208,Renfrewshire,Female,50 - 54,7339.0,Dose 1,0,0.0,0,0.0
20201208,Renfrewshire,Female,55 - 59,7081.0,Dose 1,2,0.0282445982205903,2,0.0282445982205903
20201208,Renfrewshire,Female,60 - 64,6014.0,Dose 1,1,0.016627868307283,1,0.016627868307283
20201208,Renfrewshire,Female,65 - 69,5064.0,Dose 1,0,0.0,0,0.0
20201208,Renfrewshire,Female,70 - 74,4849.0,Dose 1,0,0.0,0,0.0
20201208,Renfrewshire,Female,75 - 79,3530.0,Dose 1,0,0.0,0,0.0
20201208,Renfrewshire,Female,80 years and over,5528.0,Dose 1,0,0.0,0,0.0
20201208,Renfrewshire,Male,18 - 29,13446.0,Dose 1,0,0.0,0,0.0
20201208,Renfrewshire,Male,18 years and over,69338.0,Dose 1,2,0.00288442124087802,2,0.00288442124087802
20201208,Renfrewshire,Male,30 - 39,11660.0,Dose 1,1,0.008576329331046309,1,0.008576329331046309
20201208,Renfrewshire,Male,40 - 49,10370.0,Dose 1,0,0.0,0,0.0
20201208,Renfrewshire,Male,50 - 54,6700.0,Dose 1,1,0.0149253731343284,1,0.0149253731343284
20201208,Renfrewshire,Male,55 - 59,6583.0,Dose 1,0,0.0,0,0.0
20201208,Renfrewshire,Male,60 - 64,5663.0,Dose 1,0,0.0,0,0.0
20201208,Renfrewshire,Male,65 - 69,4557.0,Dose 1,0,0.0,0,0.0
20201208,Renfrewshire,Male,70 - 74,4121.0,Dose 1,0,0.0,0,0.0
20201208,Renfrewshire,Male,75 - 79,2817.0,Dose 1,0,0.0,0,0.0
20201208,Renfrewshire,Male,80 years and over,3421.0,Dose 1,0,0.0,0,0.0
20201208,Renfrewshire,Total,18 - 29,26481.0,Dose 1,3,0.0113288773082588,3,0.0113288773082588
20201208,Renfrewshire,Total,18 years and over,145211.0,Dose 1,12,0.00826383676167783,12,0.00826383676167783
20201208,Renfrewshire,Total,30 - 39,23417.0,Dose 1,2,0.00854080368962719,2,0.00854080368962719
20201208,Renfrewshire,Total,40 - 49,22046.0,Dose 1,3,0.0136079107321056,3,0.0136079107321056
