Date,CAName,Sex,AgeGroup,Population,Dose,NumberVaccinated,PercentCoverage,CumulativeNumberVaccinated,CumulativePercentCoverage
20201208,Scottish Borders,Female,18 - 29,6441.0,Dose 1,4,0.0621021580499922,4,0.0621021580499922
20201208,Scottish Borders,Female,18 years and over,48903.0,Dose 1,43,0.0879291658998425,43,0.0879291658998425
20201208,Scottish Borders,Female,30 - 39,5895.0,Dose 1,11,0.18659881255301103,11,0.18659881255301103
20201208,Scottish Borders,Female,40 - 49,7274.0,Dose 1,8,0.109980753368161,8,0.109980753368161
20201208,Scottish Borders,Female,50 - 54,4790.0,Dose 1,9,0.18789144050104398,9,0.18789144050104398
20201208,Scottish Borders,Female,55 - 59,4729.0,Dose 1,7,0.148022837809262,7,0.148022837809262
20201208,Scottish Borders,Female,60 - 64,4488.0,Dose 1,3,0.0668449197860962,3,0.0668449197860962
20201208,Scottish Borders,Female,65 - 69,4064.0,Dose 1,1,0.0246062992125984,1,0.0246062992125984
20201208,Scottish Borders,Female,70 - 74,4061.0,Dose 1,0,0.0,0,0.0
20201208,Scottish Borders,Female,75 - 79,2939.0,Dose 1,0,0.0,0,0.0
20201208,Scottish Borders,Female,80 years and over,4222.0,Dose 1,0,0.0,0,0.0
20201208,Scottish Borders,Male,18 - 29,6555.0,Dose 1,1,0.015255530129671999,1,0.015255530129671999
20201208,Scottish Borders,Male,18 years and over,45258.0,Dose 1,11,0.0243050952317822,11,0.0243050952317822
20201208,Scottish Borders,Male,30 - 39,5278.0,Dose 1,0,0.0,0,0.0
20201208,Scottish Borders,Male,40 - 49,6542.0,Dose 1,2,0.030571690614491002,2,0.030571690614491002
20201208,Scottish Borders,Male,50 - 54,4593.0,Dose 1,3,0.0653167864141084,3,0.0653167864141084
20201208,Scottish Borders,Male,55 - 59,4649.0,Dose 1,2,0.0430200043020004,2,0.0430200043020004
20201208,Scottish Borders,Male,60 - 64,4311.0,Dose 1,2,0.0463929482718627,2,0.0463929482718627
20201208,Scottish Borders,Male,65 - 69,3945.0,Dose 1,1,0.0253485424588086,1,0.0253485424588086
20201208,Scottish Borders,Male,70 - 74,3932.0,Dose 1,0,0.0,0,0.0
20201208,Scottish Borders,Male,75 - 79,2533.0,Dose 1,0,0.0,0,0.0
20201208,Scottish Borders,Male,80 years and over,2920.0,Dose 1,0,0.0,0,0.0
20201208,Scottish Borders,Total,18 - 29,12996.0,Dose 1,5,0.0384733764235149,5,0.0384733764235149
20201208,Scottish Borders,Total,18 years and over,94161.0,Dose 1,54,0.0573485838085832,54,0.0573485838085832
20201208,Scottish Borders,Total,30 - 39,11173.0,Dose 1,11,0.0984516244518034,11,0.0984516244518034
20201208,Scottish Borders,Total,40 - 49,13816.0,Dose 1,10,0.0723798494499131,10,0.0723798494499131
20201208,Scottish Borders,Total,50 - 54,9383.0,Dose 1,12,0.12789086646062,12,0.12789086646062
20201208,Scottish Borders,Total,50 years and over,56176.0,Dose 1,28,0.0498433494730846,28,0.0498433494730846
20201208,Scottish Borders,Total,55 - 59,9378.0,Dose 1,9,0.0959692898272553,9,0.0959692898272553
20201208,Scottish Borders,Total,60 - 64,8799.0,Dose 1,5,0.0568246391635413,5,0.0568246391635413
20201208,Scottish Borders,Total,65 - 69,8009.0,Dose 1,2,0.0249719066050693,2,0.0249719066050693
20201208,Scottish Borders,Total,70 - 74,7993.0,Dose 1,0,0.0,0,0.0
20201208,Scottish Borders,Total,75 - 79,5472.0,Dose 1,0,0.0,0,0.0
20201208,Scottish Borders,Total,80 years and over,7142.0,Dose 1,0,0.0,0,0.0
20201208,Scottish Borders,Female,18 - 29,6441.0,Dose 2,0,0.0,0,0.0
20201208,Scottish Borders,Female,18 years and over,48903.0,Dose 2,0,0.0,0,0.0
20201208,Scottish Borders,Female,30 - 39,5895.0,Dose 2,0,0.0,0,0.0
20201208,Scottish Borders,Female,40 - 49,7274.0,Dose 2,0,0.0,0,0.0
20201208,Scottish Borders,Female,50 - 54,4790.0,Dose 2,0,0.0,0,0.0
20201208,Scottish Borders,Female,55 - 59,4729.0,Dose 2,0,0.0,0,0.0
20201208,Scottish Borders,Female,60 - 64,4488.0,Dose 2,0,0.0,0,0.0
20201208,Scottish Borders,Female,65 - 69,4064.0,Dose 2,0,0.0,0,0.0
20201208,Scottish Borders,Female,70 - 74,4061.0,Dose 2,0,0.0,0,0.0
20201208,Scottish Borders,Female,75 - 79,2939.0,Dose 2,0,0.0,0,0.0
20201208,Scottish Borders,Female,80 years and over,4222.0,Dose 2,0,0.0,0,0.0
20201208,Scottish Borders,Male,18 - 29,6555.0,Dose 2,0,0.0,0,0.0
20201208,Scottish Borders,Male,18 years and over,45258.0,Dose 2,0,0.0,0,0.0
20201208,Scottish Borders,Male,30 - 39,5278.0,Dose 2,0,0.0,0,0.0
20201208,Scottish Borders,Male,40 - 49,6542.0,Dose 2,0,0.0,0,0.0
20201208,Scottish Borders,Male,50 - 54,4593.0,Dose 2,0,0.0,0,0.0
20201208,Scottish Borders,Male,55 - 59,4649.0,Dose 2,0,0.0,0,0.0
20201208,Scottish Borders,Male,60 - 64,4311.0,Dose 2,0,0.0,0,0.0
20201208,Scottish Borders,Male,65 - 69,3945.0,Dose 2,0,0.0,0,0.0
20201208,Scottish Borders,Male,70 - 74,3932.0,Dose 2,0,0.0,0,0.0
20201208,Scottish Borders,Male,75 - 79,2533.0,Dose 2,0,0.0,0,0.0
20201208,Scottish Borders,Male,80 years and over,2920.0,Dose 2,0,0.0,0,0.0
20201208,Scottish Borders,Total,18 - 29,12996.0,Dose 2,0,0.0,0,0.0
20201208,Scottish Borders,Total,18 years and over,94161.0,Dose 2,0,0.0,0,0.0
20201208,Scottish Borders,Total,30 - 39,11173.0,Dose 2,0,0.0,0,0.0
20201208,Scottish Borders,Total,40 - 49,13816.0,Dose 2,0,0.0,0,0.0
20201208,Scottish Borders,Total,50 - 54,9383.0,Dose 2,0,0.0,0,0.0
