Date,CAName,Sex,AgeGroup,Population,Dose,NumberVaccinated,PercentCoverage,CumulativeNumberVaccinated,CumulativePercentCoverage
20201208,Shetland Islands,Female,18 - 29,1353.0,Dose 1,0,0.0,0,0.0
20201208,Shetland Islands,Female,18 years and over,9007.0,Dose 1,0,0.0,0,0.0
20201208,Shetland Islands,Female,30 - 39,1342.0,Dose 1,0,0.0,0,0.0
20201208,Shetland Islands,Female,40 - 49,1474.0,Dose 1,0,0.0,0,0.0
20201208,Shetland Islands,Female,50 - 54,816.0,Dose 1,0,0.0,0,0.0
20201208,Shetland Islands,Female,55 - 59,844.0,Dose 1,0,0.0,0,0.0
20201208,Shetland Islands,Female,60 - 64,755.0,Dose 1,0,0.0,0,0.0
20201208,Shetland Islands,Female,65 - 69,685.0,Dose 1,0,0.0,0,0.0
20201208,Shetland Islands,Female,70 - 74,605.0,Dose 1,0,0.0,0,0.0
20201208,Shetland Islands,Female,75 - 79,497.0,Dose 1,0,0.0,0,0.0
20201208,Shetland Islands,Female,80 years and over,636.0,Dose 1,0,0.0,0,0.0
20201208,Shetland Islands,Male,18 - 29,1519.0,Dose 1,0,0.0,0,0.0
20201208,Shetland Islands,Male,18 years and over,9222.0,Dose 1,0,0.0,0,0.0
20201208,Shetland Islands,Male,30 - 39,1393.0,Dose 1,0,0.0,0,0.0
20201208,Shetland Islands,Male,40 - 49,1533.0,Dose 1,0,0.0,0,0.0
20201208,Shetland Islands,Male,50 - 54,882.0,Dose 1,0,0.0,0,0.0
20201208,Shetland Islands,Male,55 - 59,856.0,Dose 1,0,0.0,0,0.0
20201208,Shetland Islands,Male,60 - 64,776.0,Dose 1,0,0.0,0,0.0
20201208,Shetland Islands,Male,65 - 69,690.0,Dose 1,0,0.0,0,0.0
20201208,Shetland Islands,Male,70 - 74,654.0,Dose 1,0,0.0,0,0.0
20201208,Shetland Islands,Male,75 - 79,450.0,Dose 1,0,0.0,0,0.0
20201208,Shetland Islands,Male,80 years and over,469.0,Dose 1,0,0.0,0,0.0
20201208,Shetland Islands,Total,18 - 29,2872.0,Dose 1,0,0.0,0,0.0
20201208,Shetland Islands,Total,18 years and over,18229.0,Dose 1,0,0.0,0,0.0
20201208,Shetland Islands,Total,30 - 39,2735.0,Dose 1,0,0.0,0,0.0
20201208,Shetland Islands,Total,40 - 49,3007.0,Dose 1,0,0.0,0,0.0
20201208,Shetland Islands,Total,50 - 54,1698.0,Dose 1,0,0.0,0,0.0
20201208,Shetland Islands,Total,50 years and over,9615.0,Dose 1,0,0.0,0,0.0
20201208,Shetland Islands,Total,55 - 59,1700.0,Dose 1,0,0.0,0,0.0
20201208,Shetland Islands,Total,60 - 64,1531.0,Dose 1,0,0.0,0,0.0
20201208,Shetland Islands,Total,65 - 69,1375.0,Dose 1,0,0.0,0,0.0
20201208,Shetland Islands,Total,70 - 74,1259.0,Dose 1,0,0.0,0,0.0
20201208,Shetland Islands,Total,75 - 79,947.0,Dose 1,0,0.0,0,0.0
20201208,Shetland Islands,Total,80 years and over,1105.0,Dose 1,0,0.0,0,0.0
20201208,Shetland Islands,Female,18 - 29,1353.0,Dose 2,0,0.0,0,0.0
20201208,Shetland Islands,Female,18 years and over,9007.0,Dose 2,0,0.0,0,0.0
20201208,Shetland Islands,Female,30 - 39,1342.0,Dose 2,0,0.0,0,0.0
20201208,Shetland Islands,Female,40 - 49,1474.0,Dose 2,0,0.0,0,0.0
20201208,Shetland Islands,Female,50 - 54,816.0,Dose 2,0,0.0,0,0.0
20201208,Shetland Islands,Female,55 - 59,844.0,Dose 2,0,0.0,0,0.0
20201208,Shetland Islands,Female,60 - 64,755.0,Dose 2,0,0.0,0,0.0
20201208,Shetland Islands,Female,65 - 69,685.0,Dose 2,0,0.0,0,0.0
20201208,Shetland Islands,Female,70 - 74,605.0,Dose 2,0,0.0,0,0.0
20201208,Shetland Islands,Female,75 - 79,497.0,Dose 2,0,0.0,0,0.0
20201208,Shetland Islands,Female,80 years and over,636.0,Dose 2,0,0.0,0,0.0
20201208,Shetland Islands,Male,18 - 29,1519.0,Dose 2,0,0.0,0,0.0
20201208,Shetland Islands,Male,18 years and over,9222.0,Dose 2,0,0.0,0,0.0
20201208,Shetland Islands,Male,30 - 39,1393.0,Dose 2,0,0.0,0,0.0
20201208,Shetland Islands,Male,40 - 49,1533.0,Dose 2,0,0.0,0,0.0
20201208,Shetland Islands,Male,50 - 54,882.0,Dose 2,0,0.0,0,0.0
20201208,Shetland Islands,Male,55 - 59,856.0,Dose 2,0,0.0,0,0.0
20201208,Shetland Islands,Male,60 - 64,776.0,Dose 2,0,0.0,0,0.0
20201208,Shetland Islands,Male,65 - 69,690.0,Dose 2,0,0.0,0,0.0
20201208,Shetland Islands,Male,70 - 74,654.0,Dose 2,0,0.0,0,0.0
20201208,Shetland Islands,Male,75 - 79,450.0,Dose 2,0,0.0,0,0.0
20201208,Shetland Islands,Male,80 years and over,469.0,Dose 2,0,0.0,0,0.0
20201208,Shetland Islands,Total,18 - 29,2872.0,Dose 2,0,0.0,0,0.0
20201208,Shetland Islands,Total,18 years and over,18229.0,Dose 2,0,0.0,0,0.0
20201208,Shetland Islands,Total,30 - 39,2735.0,Dose 2,0,0.0,0,0.0
20201208,Shetland Islands,Total,40 - 49,3007.0,Dose 2,0,0.0,0,0.0
20201208,Shetland Islands,Total,50 - 54,1698.0,Dose 2,0,0.0,0,0.0
20201208,Shetland Islands,Total,50 years and over,9615.0,Dose 2,0,0.0,0,0.0
20201208,Shetland Islands,Total,55 - 59,1700.0,Dose 2,0,0.0,0,0.0
20201208,Shetland Islands,Total,60 - 64,1531.0,Dose 2,0,0.0,0,0.0
20201208,Shetland Islands,Total,65 - 69,1375.0,Dose 2,0,0.0,0,0.0
20201208,Shetland Islands,Total,70 - 74,1259.0,Dose 2,0,0.0,0,0.0
20201208,Shetland Islands,Total,75 - 79,947.0,Dose 2,0,0.0,0,0.0
20201208,Shetland Islands,Total,80 years and over,1105.0,Dose 2,0,0.0,0,0.0
20201209,Shetland Islands,Female,18 - 29,1353.0,Dose 1,0,0.0,0,0.0
