Date,CAName,Sex,AgeGroup,Population,Dose,NumberVaccinated,PercentCoverage,CumulativeNumberVaccinated,CumulativePercentCoverage
20201208,South Ayrshire,Female,18 - 29,6722.0,Dose 1,4,0.05950609937518599,4,0.05950609937518599
20201208,South Ayrshire,Female,18 years and over,49194.0,Dose 1,21,0.0426881326991096,21,0.0426881326991096
20201208,South Ayrshire,Female,30 - 39,6076.0,Dose 1,4,0.0658327847267939,4,0.0658327847267939
20201208,South Ayrshire,Female,40 - 49,6928.0,Dose 1,4,0.0577367205542725,4,0.0577367205542725
20201208,South Ayrshire,Female,50 - 54,4504.0,Dose 1,4,0.088809946714032,4,0.088809946714032
20201208,South Ayrshire,Female,55 - 59,4715.0,Dose 1,5,0.10604453870625699,5,0.10604453870625699
20201208,South Ayrshire,Female,60 - 64,4443.0,Dose 1,0,0.0,0,0.0
20201208,South Ayrshire,Female,65 - 69,4140.0,Dose 1,0,0.0,0,0.0
20201208,South Ayrshire,Female,70 - 74,4052.0,Dose 1,0,0.0,0,0.0
20201208,South Ayrshire,Female,75 - 79,3016.0,Dose 1,0,0.0,0,0.0
20201208,South Ayrshire,Female,80 years and over,4598.0,Dose 1,0,0.0,0,0.0
20201208,South Ayrshire,Male,18 - 29,7020.0,Dose 1,0,0.0,0,0.0
20201208,South Ayrshire,Male,18 years and over,43620.0,Dose 1,4,0.00917010545621275,4,0.00917010545621275
20201208,South Ayrshire,Male,30 - 39,5255.0,Dose 1,1,0.0190294957183635,1,0.0190294957183635
20201208,South Ayrshire,Male,40 - 49,6169.0,Dose 1,2,0.0324201653428432,2,0.0324201653428432
20201208,South Ayrshire,Male,50 - 54,3988.0,Dose 1,1,0.0250752256770311,1,0.0250752256770311
20201208,South Ayrshire,Male,55 - 59,4279.0,Dose 1,0,0.0,0,0.0
20201208,South Ayrshire,Male,60 - 64,3971.0,Dose 1,0,0.0,0,0.0
20201208,South Ayrshire,Male,65 - 69,3754.0,Dose 1,0,0.0,0,0.0
20201208,South Ayrshire,Male,70 - 74,3619.0,Dose 1,0,0.0,0,0.0
20201208,South Ayrshire,Male,75 - 79,2541.0,Dose 1,0,0.0,0,0.0
20201208,South Ayrshire,Male,80 years and over,3024.0,Dose 1,0,0.0,0,0.0
20201208,South Ayrshire,Total,18 - 29,13742.0,Dose 1,4,0.02910784456411,4,0.02910784456411
20201208,South Ayrshire,Total,18 years and over,92814.0,Dose 1,25,0.0269355916133342,25,0.0269355916133342
20201208,South Ayrshire,Total,30 - 39,11331.0,Dose 1,5,0.04412673197423,5,0.04412673197423
20201208,South Ayrshire,Total,40 - 49,13097.0,Dose 1,6,0.0458120180193938,6,0.0458120180193938
20201208,South Ayrshire,Total,50 - 54,8492.0,Dose 1,5,0.0588789448893076,5,0.0588789448893076
20201208,South Ayrshire,Total,50 years and over,54644.0,Dose 1,10,0.0183002708440085,10,0.0183002708440085
20201208,South Ayrshire,Total,55 - 59,8994.0,Dose 1,5,0.0555926173004225,5,0.0555926173004225
20201208,South Ayrshire,Total,60 - 64,8414.0,Dose 1,0,0.0,0,0.0
20201208,South Ayrshire,Total,65 - 69,7894.0,Dose 1,0,0.0,0,0.0
20201208,South Ayrshire,Total,70 - 74,7671.0,Dose 1,0,0.0,0,0.0
20201208,South Ayrshire,Total,75 - 79,5557.0,Dose 1,0,0.0,0,0.0
20201208,South Ayrshire,Total,80 years and over,7622.0,Dose 1,0,0.0,0,0.0
20201208,South Ayrshire,Female,18 - 29,6722.0,Dose 2,0,0.0,0,0.0
20201208,South Ayrshire,Female,18 years and over,49194.0,Dose 2,0,0.0,0,0.0
20201208,South Ayrshire,Female,30 - 39,6076.0,Dose 2,0,0.0,0,0.0
20201208,South Ayrshire,Female,40 - 49,6928.0,Dose 2,0,0.0,0,0.0
20201208,South Ayrshire,Female,50 - 54,4504.0,Dose 2,0,0.0,0,0.0
20201208,South Ayrshire,Female,55 - 59,4715.0,Dose 2,0,0.0,0,0.0
20201208,South Ayrshire,Female,60 - 64,4443.0,Dose 2,0,0.0,0,0.0
20201208,South Ayrshire,Female,65 - 69,4140.0,Dose 2,0,0.0,0,0.0
20201208,South Ayrshire,Female,70 - 74,4052.0,Dose 2,0,0.0,0,0.0
20201208,South Ayrshire,Female,75 - 79,3016.0,Dose 2,0,0.0,0,0.0
20201208,South Ayrshire,Female,80 years and over,4598.0,Dose 2,0,0.0,0,0.0
20201208,South Ayrshire,Male,18 - 29,7020.0,Dose 2,0,0.0,0,0.0
20201208,South Ayrshire,Male,18 years and over,43620.0,Dose 2,0,0.0,0,0.0
20201208,South Ayrshire,Male,30 - 39,5255.0,Dose 2,0,0.0,0,0.0
20201208,South Ayrshire,Male,40 - 49,6169.0,Dose 2,0,0.0,0,0.0
20201208,South Ayrshire,Male,50 - 54,3988.0,Dose 2,0,0.0,0,0.0
20201208,South Ayrshire,Male,55 - 59,4279.0,Dose 2,0,0.0,0,0.0
20201208,South Ayrshire,Male,60 - 64,3971.0,Dose 2,0,0.0,0,0.0
20201208,South Ayrshire,Male,65 - 69,3754.0,Dose 2,0,0.0,0,0.0
20201208,South Ayrshire,Male,70 - 74,3619.0,Dose 2,0,0.0,0,0.0
20201208,South Ayrshire,Male,75 - 79,2541.0,Dose 2,0,0.0,0,0.0
20201208,South Ayrshire,Male,80 years and over,3024.0,Dose 2,0,0.0,0,0.0
20201208,South Ayrshire,Total,18 - 29,13742.0,Dose 2,0,0.0,0,0.0
20201208,South Ayrshire,Total,18 years and over,92814.0,Dose 2,0,0.0,0,0.0
20201208,South Ayrshire,Total,30 - 39,11331.0,Dose 2,0,0.0,0,0.0
20201208,South Ayrshire,Total,40 - 49,13097.0,Dose 2,0,0.0,0,0.0
20201208,South Ayrshire,Total,50 - 54,8492.0,Dose 2,0,0.0,0,0.0
20201208,South Ayrshire,Total,50 years and over,54644.0,Dose 2,0,0.0,0,0.0
20201208,South Ayrshire,Total,55 - 59,8994.0,Dose 2,0,0.0,0,0.0
20201208,South Ayrshire,Total,60 - 64,8414.0,Dose 2,0,0.0,0,0.0
20201208,South Ayrshire,Total,65 - 69,7894.0,Dose 2,0,0.0,0,0.0
20201208,South Ayrshire,Total,70 - 74,7671.0,Dose 2,0,0.0,0,0.0
20201208,South Ayrshire,Total,75 - 79,5557.0,Dose 2,0,0.0,0,0.0
20201208,South Ayrshire,Total,80 years and over,7622.0,Dose 2,0,0.0,0,0.0
20201209,South Ayrshire,Female,18 - 29,6722.0,Dose 1,12,0.178518298125558,16,0.23802439750074397
20201209,South Ayrshire,Female,18 years and over,49194.0,Dose 1,79,0.160588689677603,100,0.20327682237671302
20201209,South Ayrshire,Female,30 - 39,6076.0,Dose 1,17,0.27978933508887394,21,0.34562211981566804
20201209,South Ayrshire,Female,40 - 49,6928.0,Dose 1,18,0.25981524249422605,22,0.317551963048499
20201209,South Ayrshire,Female,50 - 54,4504.0,Dose 1,10,0.22202486678508,14,0.310834813499112
20201209,South Ayrshire,Female,55 - 59,4715.0,Dose 1,12,0.25450689289501605,17,0.36055143160127295
20201209,South Ayrshire,Female,60 - 64,4443.0,Dose 1,5,0.112536574386676,5,0.112536574386676
20201209,South Ayrshire,Female,65 - 69,4140.0,Dose 1,1,0.0241545893719807,1,0.0241545893719807
20201209,South Ayrshire,Female,70 - 74,4052.0,Dose 1,2,0.0493583415597236,2,0.0493583415597236
20201209,South Ayrshire,Female,75 - 79,3016.0,Dose 1,2,0.0663129973474801,2,0.0663129973474801
20201209,South Ayrshire,Female,80 years and over,4598.0,Dose 1,0,0.0,0,0.0
20201209,South Ayrshire,Male,18 - 29,7020.0,Dose 1,0,0.0,0,0.0
20201209,South Ayrshire,Male,18 years and over,43620.0,Dose 1,15,0.0343878954607978,19,0.0435580009170105
20201209,South Ayrshire,Male,30 - 39,5255.0,Dose 1,1,0.0190294957183635,2,0.0380589914367269
20201209,South Ayrshire,Male,40 - 49,6169.0,Dose 1,7,0.11347057869995099,9,0.14589074404279503
20201209,South Ayrshire,Male,50 - 54,3988.0,Dose 1,0,0.0,1,0.0250752256770311
20201209,South Ayrshire,Male,55 - 59,4279.0,Dose 1,4,0.0934797849964945,4,0.0934797849964945
