Date,CAName,Sex,AgeGroup,Population,Dose,NumberVaccinated,PercentCoverage,CumulativeNumberVaccinated,CumulativePercentCoverage
20201208,South Lanarkshire,Female,18 - 29,21284.0,Dose 1,5,0.023491824844954,5,0.023491824844954
20201208,South Lanarkshire,Female,18 years and over,135069.0,Dose 1,23,0.0170283336664964,23,0.0170283336664964
20201208,South Lanarkshire,Female,30 - 39,20310.0,Dose 1,5,0.0246184145741014,5,0.0246184145741014
20201208,South Lanarkshire,Female,40 - 49,21517.0,Dose 1,6,0.0278849281963099,6,0.0278849281963099
20201208,South Lanarkshire,Female,50 - 54,12811.0,Dose 1,2,0.015611583795176001,2,0.015611583795176001
20201208,South Lanarkshire,Female,55 - 59,12935.0,Dose 1,3,0.0231928875144956,3,0.0231928875144956
20201208,South Lanarkshire,Female,60 - 64,11479.0,Dose 1,1,0.00871156024043906,1,0.00871156024043906
20201208,South Lanarkshire,Female,65 - 69,9661.0,Dose 1,1,0.010350895352448,1,0.010350895352448
20201208,South Lanarkshire,Female,70 - 74,8728.0,Dose 1,0,0.0,0,0.0
20201208,South Lanarkshire,Female,75 - 79,6595.0,Dose 1,0,0.0,0,0.0
20201208,South Lanarkshire,Female,80 years and over,9749.0,Dose 1,0,0.0,0,0.0
20201208,South Lanarkshire,Male,18 - 29,21874.0,Dose 1,2,0.0091432751211484,2,0.0091432751211484
20201208,South Lanarkshire,Male,18 years and over,123343.0,Dose 1,8,0.0064859781260387704,8,0.0064859781260387704
20201208,South Lanarkshire,Male,30 - 39,18737.0,Dose 1,4,0.02134813470673,4,0.02134813470673
20201208,South Lanarkshire,Male,40 - 49,20288.0,Dose 1,1,0.00492902208201893,1,0.00492902208201893
20201208,South Lanarkshire,Male,50 - 54,12002.0,Dose 1,0,0.0,0,0.0
20201208,South Lanarkshire,Male,55 - 59,12052.0,Dose 1,1,0.00829737802854298,1,0.00829737802854298
20201208,South Lanarkshire,Male,60 - 64,10417.0,Dose 1,0,0.0,0,0.0
20201208,South Lanarkshire,Male,65 - 69,8911.0,Dose 1,0,0.0,0,0.0
20201208,South Lanarkshire,Male,70 - 74,7799.0,Dose 1,0,0.0,0,0.0
20201208,South Lanarkshire,Male,75 - 79,5260.0,Dose 1,0,0.0,0,0.0
20201208,South Lanarkshire,Male,80 years and over,6003.0,Dose 1,0,0.0,0,0.0
20201208,South Lanarkshire,Total,18 - 29,43158.0,Dose 1,7,0.0162194726354326,7,0.0162194726354326
20201208,South Lanarkshire,Total,18 years and over,258412.0,Dose 1,31,0.0119963469188737,31,0.0119963469188737
20201208,South Lanarkshire,Total,30 - 39,39047.0,Dose 1,9,0.0230491459010936,9,0.0230491459010936
20201208,South Lanarkshire,Total,40 - 49,41805.0,Dose 1,7,0.016744408563568996,7,0.016744408563568996
20201208,South Lanarkshire,Total,50 - 54,24813.0,Dose 1,2,0.00806029097650425,2,0.00806029097650425
20201208,South Lanarkshire,Total,50 years and over,134402.0,Dose 1,8,0.0059522923766015395,8,0.0059522923766015395
20201208,South Lanarkshire,Total,55 - 59,24987.0,Dose 1,4,0.0160083243286509,4,0.0160083243286509
20201208,South Lanarkshire,Total,60 - 64,21896.0,Dose 1,1,0.00456704420898794,1,0.00456704420898794
20201208,South Lanarkshire,Total,65 - 69,18572.0,Dose 1,1,0.00538444970923972,1,0.00538444970923972
20201208,South Lanarkshire,Total,70 - 74,16527.0,Dose 1,0,0.0,0,0.0
20201208,South Lanarkshire,Total,75 - 79,11855.0,Dose 1,0,0.0,0,0.0
20201208,South Lanarkshire,Total,80 years and over,15752.0,Dose 1,0,0.0,0,0.0
20201208,South Lanarkshire,Female,18 - 29,21284.0,Dose 2,0,0.0,0,0.0
20201208,South Lanarkshire,Female,18 years and over,135069.0,Dose 2,0,0.0,0,0.0
20201208,South Lanarkshire,Female,30 - 39,20310.0,Dose 2,0,0.0,0,0.0
20201208,South Lanarkshire,Female,40 - 49,21517.0,Dose 2,0,0.0,0,0.0
20201208,South Lanarkshire,Female,50 - 54,12811.0,Dose 2,0,0.0,0,0.0
20201208,South Lanarkshire,Female,55 - 59,12935.0,Dose 2,0,0.0,0,0.0
20201208,South Lanarkshire,Female,60 - 64,11479.0,Dose 2,0,0.0,0,0.0
20201208,South Lanarkshire,Female,65 - 69,9661.0,Dose 2,0,0.0,0,0.0
20201208,South Lanarkshire,Female,70 - 74,8728.0,Dose 2,0,0.0,0,0.0
20201208,South Lanarkshire,Female,75 - 79,6595.0,Dose 2,0,0.0,0,0.0
20201208,South Lanarkshire,Female,80 years and over,9749.0,Dose 2,0,0.0,0,0.0
20201208,South Lanarkshire,Male,18 - 29,21874.0,Dose 2,0,0.0,0,0.0
20201208,South Lanarkshire,Male,18 years and over,123343.0,Dose 2,0,0.0,0,0.0
20201208,South Lanarkshire,Male,30 - 39,18737.0,Dose 2,0,0.0,0,0.0
20201208,South Lanarkshire,Male,40 - 49,20288.0,Dose 2,0,0.0,0,0.0
20201208,South Lanarkshire,Male,50 - 54,12002.0,Dose 2,0,0.0,0,0.0
20201208,South Lanarkshire,Male,55 - 59,12052.0,Dose 2,0,0.0,0,0.0
20201208,South Lanarkshire,Male,60 - 64,10417.0,Dose 2,0,0.0,0,0.0
20201208,South Lanarkshire,Male,65 - 69,8911.0,Dose 2,0,0.0,0,0.0
20201208,South Lanarkshire,Male,70 - 74,7799.0,Dose 2,0,0.0,0,0.0
20201208,South Lanarkshire,Male,75 - 79,5260.0,Dose 2,0,0.0,0,0.0
20201208,South Lanarkshire,Male,80 years and over,6003.0,Dose 2,0,0.0,0,0.0
20201208,South Lanarkshire,Total,18 - 29,43158.0,Dose 2,0,0.0,0,0.0
20201208,South Lanarkshire,Total,18 years and over,258412.0,Dose 2,0,0.0,0,0.0
20201208,South Lanarkshire,Total,30 - 39,39047.0,Dose 2,0,0.0,0,0.0
20201208,South Lanarkshire,Total,40 - 49,41805.0,Dose 2,0,0.0,0,0.0
20201208,South Lanarkshire,Total,50 - 54,24813.0,Dose 2,0,0.0,0,0.0
20201208,South Lanarkshire,Total,50 years and over,134402.0,Dose 2,0,0.0,0,0.0
20201208,South Lanarkshire,Total,55 - 59,24987.0,Dose 2,0,0.0,0,0.0
20201208,South Lanarkshire,Total,60 - 64,21896.0,Dose 2,0,0.0,0,0.0
20201208,South Lanarkshire,Total,65 - 69,18572.0,Dose 2,0,0.0,0,0.0
20201208,South Lanarkshire,Total,70 - 74,16527.0,Dose 2,0,0.0,0,0.0
20201208,South Lanarkshire,Total,75 - 79,11855.0,Dose 2,0,0.0,0,0.0
20201208,South Lanarkshire,Total,80 years and over,15752.0,Dose 2,0,0.0,0,0.0
20201209,South Lanarkshire,Female,18 - 29,21284.0,Dose 1,10,0.0469836496899079,15,0.0704754745348619
20201209,South Lanarkshire,Female,18 years and over,135069.0,Dose 1,59,0.0436813776662298,82,0.0607097113327262
20201209,South Lanarkshire,Female,30 - 39,20310.0,Dose 1,16,0.0787789266371246,21,0.103397341211226
20201209,South Lanarkshire,Female,40 - 49,21517.0,Dose 1,15,0.0697123204907747,21,0.0975972486870846
