Date,CAName,Sex,AgeGroup,Population,Dose,NumberVaccinated,PercentCoverage,CumulativeNumberVaccinated,CumulativePercentCoverage
20201208,Stirling,Female,18 - 29,8501.0,Dose 1,17,0.19997647335607605,17,0.19997647335607605
20201208,Stirling,Female,18 years and over,40285.0,Dose 1,141,0.35000620578379,141,0.35000620578379
20201208,Stirling,Female,30 - 39,5523.0,Dose 1,25,0.45265254390729703,25,0.45265254390729703
20201208,Stirling,Female,40 - 49,6188.0,Dose 1,30,0.48480930833872,30,0.48480930833872
20201208,Stirling,Female,50 - 54,3654.0,Dose 1,20,0.5473453749315821,20,0.5473453749315821
20201208,Stirling,Female,55 - 59,3514.0,Dose 1,33,0.939100739897553,33,0.939100739897553
20201208,Stirling,Female,60 - 64,2878.0,Dose 1,13,0.45170257123002094,13,0.45170257123002094
20201208,Stirling,Female,65 - 69,2588.0,Dose 1,2,0.0772797527047913,2,0.0772797527047913
20201208,Stirling,Female,70 - 74,2550.0,Dose 1,1,0.0392156862745098,1,0.0392156862745098
20201208,Stirling,Female,75 - 79,1972.0,Dose 1,0,0.0,0,0.0
20201208,Stirling,Female,80 years and over,2917.0,Dose 1,0,0.0,0,0.0
20201208,Stirling,Male,18 - 29,8078.0,Dose 1,1,0.0123793018073781,1,0.0123793018073781
20201208,Stirling,Male,18 years and over,36475.0,Dose 1,35,0.0959561343385881,35,0.0959561343385881
20201208,Stirling,Male,30 - 39,5062.0,Dose 1,4,0.0790201501382853,4,0.0790201501382853
20201208,Stirling,Male,40 - 49,5458.0,Dose 1,12,0.21986075485525797,12,0.21986075485525797
20201208,Stirling,Male,50 - 54,3524.0,Dose 1,10,0.283768444948922,10,0.283768444948922
20201208,Stirling,Male,55 - 59,3324.0,Dose 1,5,0.150421179302046,5,0.150421179302046
20201208,Stirling,Male,60 - 64,2792.0,Dose 1,3,0.107449856733524,3,0.107449856733524
20201208,Stirling,Male,65 - 69,2460.0,Dose 1,0,0.0,0,0.0
20201208,Stirling,Male,70 - 74,2294.0,Dose 1,0,0.0,0,0.0
