Date,CAName,Sex,AgeGroup,Population,Dose,NumberVaccinated,PercentCoverage,CumulativeNumberVaccinated,CumulativePercentCoverage
20201208,West Dunbartonshire,Female,18 - 29,6315.0,Dose 1,0,0.0,0,0.0
20201208,West Dunbartonshire,Female,18 years and over,37909.0,Dose 1,8,0.021103168113113,8,0.021103168113113
20201208,West Dunbartonshire,Female,30 - 39,5792.0,Dose 1,2,0.0345303867403315,2,0.0345303867403315
20201208,West Dunbartonshire,Female,40 - 49,5627.0,Dose 1,1,0.0177714590367869,1,0.0177714590367869
20201208,West Dunbartonshire,Female,50 - 54,3774.0,Dose 1,0,0.0,0,0.0
20201208,West Dunbartonshire,Female,55 - 59,3681.0,Dose 1,3,0.0814995925020375,3,0.0814995925020375
20201208,West Dunbartonshire,Female,60 - 64,3286.0,Dose 1,1,0.0304321363359708,1,0.0304321363359708
20201208,West Dunbartonshire,Female,65 - 69,2679.0,Dose 1,1,0.0373273609555804,1,0.0373273609555804
20201208,West Dunbartonshire,Female,70 - 74,2397.0,Dose 1,0,0.0,0,0.0
20201208,West Dunbartonshire,Female,75 - 79,1740.0,Dose 1,0,0.0,0,0.0
20201208,West Dunbartonshire,Female,80 years and over,2618.0,Dose 1,0,0.0,0,0.0
20201208,West Dunbartonshire,Male,18 - 29,6442.0,Dose 1,1,0.0155231294628997,1,0.0155231294628997
20201208,West Dunbartonshire,Male,18 years and over,33564.0,Dose 1,2,0.0059587653438207605,2,0.0059587653438207605
20201208,West Dunbartonshire,Male,30 - 39,5286.0,Dose 1,1,0.0189178963299281,1,0.0189178963299281
20201208,West Dunbartonshire,Male,40 - 49,4954.0,Dose 1,0,0.0,0,0.0
20201208,West Dunbartonshire,Male,50 - 54,3258.0,Dose 1,0,0.0,0,0.0
20201208,West Dunbartonshire,Male,55 - 59,3334.0,Dose 1,0,0.0,0,0.0
20201208,West Dunbartonshire,Male,60 - 64,2993.0,Dose 1,0,0.0,0,0.0
20201208,West Dunbartonshire,Male,65 - 69,2386.0,Dose 1,0,0.0,0,0.0
20201208,West Dunbartonshire,Male,70 - 74,2112.0,Dose 1,0,0.0,0,0.0
20201208,West Dunbartonshire,Male,75 - 79,1307.0,Dose 1,0,0.0,0,0.0
20201208,West Dunbartonshire,Male,80 years and over,1492.0,Dose 1,0,0.0,0,0.0
20201208,West Dunbartonshire,Total,18 - 29,12757.0,Dose 1,1,0.00783883358156306,1,0.00783883358156306
20201208,West Dunbartonshire,Total,18 years and over,71473.0,Dose 1,10,0.0139912974130091,10,0.0139912974130091
20201208,West Dunbartonshire,Total,30 - 39,11078.0,Dose 1,3,0.0270807004874526,3,0.0270807004874526
20201208,West Dunbartonshire,Total,40 - 49,10581.0,Dose 1,1,0.0094509025611946,1,0.0094509025611946
20201208,West Dunbartonshire,Total,50 - 54,7032.0,Dose 1,0,0.0,0,0.0
20201208,West Dunbartonshire,Total,50 years and over,37057.0,Dose 1,5,0.0134927274199207,5,0.0134927274199207
20201208,West Dunbartonshire,Total,55 - 59,7015.0,Dose 1,3,0.0427655024946543,3,0.0427655024946543
20201208,West Dunbartonshire,Total,60 - 64,6279.0,Dose 1,1,0.0159261028826246,1,0.0159261028826246
20201208,West Dunbartonshire,Total,65 - 69,5065.0,Dose 1,1,0.0197433366238894,1,0.0197433366238894
20201208,West Dunbartonshire,Total,70 - 74,4509.0,Dose 1,0,0.0,0,0.0
20201208,West Dunbartonshire,Total,75 - 79,3047.0,Dose 1,0,0.0,0,0.0
20201208,West Dunbartonshire,Total,80 years and over,4110.0,Dose 1,0,0.0,0,0.0
20201208,West Dunbartonshire,Female,18 - 29,6315.0,Dose 2,0,0.0,0,0.0
20201208,West Dunbartonshire,Female,18 years and over,37909.0,Dose 2,0,0.0,0,0.0
20201208,West Dunbartonshire,Female,30 - 39,5792.0,Dose 2,0,0.0,0,0.0
20201208,West Dunbartonshire,Female,40 - 49,5627.0,Dose 2,0,0.0,0,0.0
20201208,West Dunbartonshire,Female,50 - 54,3774.0,Dose 2,0,0.0,0,0.0
20201208,West Dunbartonshire,Female,55 - 59,3681.0,Dose 2,0,0.0,0,0.0
20201208,West Dunbartonshire,Female,60 - 64,3286.0,Dose 2,0,0.0,0,0.0
20201208,West Dunbartonshire,Female,65 - 69,2679.0,Dose 2,0,0.0,0,0.0
20201208,West Dunbartonshire,Female,70 - 74,2397.0,Dose 2,0,0.0,0,0.0
20201208,West Dunbartonshire,Female,75 - 79,1740.0,Dose 2,0,0.0,0,0.0
20201208,West Dunbartonshire,Female,80 years and over,2618.0,Dose 2,0,0.0,0,0.0
