Date,CAName,Sex,AgeGroup,Population,Dose,NumberVaccinated,PercentCoverage,CumulativeNumberVaccinated,CumulativePercentCoverage
20201208,West Lothian,Female,18 - 29,12158.0,Dose 1,11,0.0904754071393321,11,0.0904754071393321
20201208,West Lothian,Female,18 years and over,73919.0,Dose 1,138,0.18669083726782001,138,0.18669083726782001
20201208,West Lothian,Female,30 - 39,12702.0,Dose 1,26,0.20469217446071497,26,0.20469217446071497
20201208,West Lothian,Female,40 - 49,12891.0,Dose 1,41,0.318051353657591,41,0.318051353657591
20201208,West Lothian,Female,50 - 54,7400.0,Dose 1,32,0.432432432432432,32,0.432432432432432
20201208,West Lothian,Female,55 - 59,6648.0,Dose 1,15,0.22563176895306897,15,0.22563176895306897
20201208,West Lothian,Female,60 - 64,5438.0,Dose 1,7,0.128723795513056,7,0.128723795513056
20201208,West Lothian,Female,65 - 69,4826.0,Dose 1,4,0.0828843762950684,4,0.0828843762950684
20201208,West Lothian,Female,70 - 74,4522.0,Dose 1,2,0.0442282176028306,2,0.0442282176028306
20201208,West Lothian,Female,75 - 79,3186.0,Dose 1,0,0.0,0,0.0
20201208,West Lothian,Female,80 years and over,4148.0,Dose 1,0,0.0,0,0.0
20201208,West Lothian,Male,18 - 29,12945.0,Dose 1,0,0.0,0,0.0
20201208,West Lothian,Male,18 years and over,69570.0,Dose 1,13,0.0186862153226966,13,0.0186862153226966
20201208,West Lothian,Male,30 - 39,11788.0,Dose 1,3,0.0254496097726502,3,0.0254496097726502
20201208,West Lothian,Male,40 - 49,12377.0,Dose 1,5,0.0403975115132908,5,0.0403975115132908
20201208,West Lothian,Male,50 - 54,7004.0,Dose 1,2,0.0285551113649343,2,0.0285551113649343
20201208,West Lothian,Male,55 - 59,6447.0,Dose 1,3,0.0465332712889716,3,0.0465332712889716
20201208,West Lothian,Male,60 - 64,5206.0,Dose 1,0,0.0,0,0.0
20201208,West Lothian,Male,65 - 69,4287.0,Dose 1,0,0.0,0,0.0
20201208,West Lothian,Male,70 - 74,4056.0,Dose 1,0,0.0,0,0.0
20201208,West Lothian,Male,75 - 79,2602.0,Dose 1,0,0.0,0,0.0
20201208,West Lothian,Male,80 years and over,2858.0,Dose 1,0,0.0,0,0.0
20201208,West Lothian,Total,18 - 29,25103.0,Dose 1,11,0.0438194638091065,11,0.0438194638091065
20201208,West Lothian,Total,18 years and over,143489.0,Dose 1,151,0.105234547595983,151,0.105234547595983
20201208,West Lothian,Total,30 - 39,24490.0,Dose 1,29,0.118415679869334,29,0.118415679869334
20201208,West Lothian,Total,40 - 49,25268.0,Dose 1,46,0.18204844071553,46,0.18204844071553
20201208,West Lothian,Total,50 - 54,14404.0,Dose 1,34,0.236045542904749,34,0.236045542904749
20201208,West Lothian,Total,50 years and over,68628.0,Dose 1,65,0.0947135280060617,65,0.0947135280060617
20201208,West Lothian,Total,55 - 59,13095.0,Dose 1,18,0.13745704467354,18,0.13745704467354
20201208,West Lothian,Total,60 - 64,10644.0,Dose 1,7,0.0657647500939496,7,0.0657647500939496
20201208,West Lothian,Total,65 - 69,9113.0,Dose 1,4,0.0438933391857786,4,0.0438933391857786
20201208,West Lothian,Total,70 - 74,8578.0,Dose 1,2,0.0233154581487526,2,0.0233154581487526
20201208,West Lothian,Total,75 - 79,5788.0,Dose 1,0,0.0,0,0.0
20201208,West Lothian,Total,80 years and over,7006.0,Dose 1,0,0.0,0,0.0
20201208,West Lothian,Female,18 - 29,12158.0,Dose 2,0,0.0,0,0.0
20201208,West Lothian,Female,18 years and over,73919.0,Dose 2,0,0.0,0,0.0
20201208,West Lothian,Female,30 - 39,12702.0,Dose 2,0,0.0,0,0.0
20201208,West Lothian,Female,40 - 49,12891.0,Dose 2,0,0.0,0,0.0
20201208,West Lothian,Female,50 - 54,7400.0,Dose 2,0,0.0,0,0.0
20201208,West Lothian,Female,55 - 59,6648.0,Dose 2,0,0.0,0,0.0
20201208,West Lothian,Female,60 - 64,5438.0,Dose 2,0,0.0,0,0.0
20201208,West Lothian,Female,65 - 69,4826.0,Dose 2,0,0.0,0,0.0
20201208,West Lothian,Female,70 - 74,4522.0,Dose 2,0,0.0,0,0.0
20201208,West Lothian,Female,75 - 79,3186.0,Dose 2,0,0.0,0,0.0
20201208,West Lothian,Female,80 years and over,4148.0,Dose 2,0,0.0,0,0.0
20201208,West Lothian,Male,18 - 29,12945.0,Dose 2,0,0.0,0,0.0
20201208,West Lothian,Male,18 years and over,69570.0,Dose 2,0,0.0,0,0.0
20201208,West Lothian,Male,30 - 39,11788.0,Dose 2,0,0.0,0,0.0
20201208,West Lothian,Male,40 - 49,12377.0,Dose 2,0,0.0,0,0.0
20201208,West Lothian,Male,50 - 54,7004.0,Dose 2,0,0.0,0,0.0
20201208,West Lothian,Male,55 - 59,6447.0,Dose 2,0,0.0,0,0.0
20201208,West Lothian,Male,60 - 64,5206.0,Dose 2,0,0.0,0,0.0
20201208,West Lothian,Male,65 - 69,4287.0,Dose 2,0,0.0,0,0.0
20201208,West Lothian,Male,70 - 74,4056.0,Dose 2,0,0.0,0,0.0
