Date,Product,Population,Dose,NumberVaccinated,PercentCoverage,CumulativeNumberVaccinated,CumulativePercentCoverage,AgeBand
20201208,Covid-19 mRNA Vaccine Moderna,4541903,Dose 1,0,,0,,16 years and over
20201208,Covid-19 mRNA Vaccine Moderna,4541903,Dose 2,0,,0,,16 years and over
20201208,Covid-19 mRNA Vaccine Pfizer,4541903,Dose 1,1870,,1870,,16 years and over
20201208,Covid-19 mRNA Vaccine Pfizer,4541903,Dose 2,0,,0,,16 years and over
20201208,Covid-19 Vaccine AstraZeneca,4541903,Dose 1,0,,0,,16 years and over
20201208,Covid-19 Vaccine AstraZeneca,4541903,Dose 2,0,,0,,16 years and over
20201208,Total,4541903,Dose 1,1870,,1870,,16 years and over
20201208,Total,4434138,Dose 1,1869,0.0421502443090404,1869,0.0421502443090404,18 years and over
20201208,Total,2183051,Dose 1,786,0.0360046558692399,786,0.0360046558692399,50 years and over
20201208,Total,4541903,Dose 2,0,,0,,16 years and over
20201208,Total,4434138,Dose 2,0,0.0,0,0.0,18 years and over
20201208,Total,2183051,Dose 2,0,0.0,0,0.0,50 years and over
20201209,Covid-19 mRNA Vaccine Moderna,4541903,Dose 1,0,,0,,16 years and over
20201209,Covid-19 mRNA Vaccine Moderna,4541903,Dose 2,0,,0,,16 years and over
20201209,Covid-19 mRNA Vaccine Pfizer,4541903,Dose 1,3807,,5677,,16 years and over
20201209,Covid-19 mRNA Vaccine Pfizer,4541903,Dose 2,0,,0,,16 years and over
20201209,Covid-19 Vaccine AstraZeneca,4541903,Dose 1,0,,0,,16 years and over
20201209,Covid-19 Vaccine AstraZeneca,4541903,Dose 2,0,,0,,16 years and over
20201209,Total,4541903,Dose 1,3807,,5677,,16 years and over
20201209,Total,4434138,Dose 1,3807,0.0858565971559749,5676,0.128006841465015,18 years and over
20201209,Total,2183051,Dose 1,1531,0.0701312062796517,2317,0.10613586214889201,50 years and over
20201209,Total,4541903,Dose 2,0,,0,,16 years and over
20201209,Total,4434138,Dose 2,0,0.0,0,0.0,18 years and over
20201209,Total,2183051,Dose 2,0,0.0,0,0.0,50 years and over
20201210,Covid-19 mRNA Vaccine Moderna,4541903,Dose 1,0,,0,,16 years and over
20201210,Covid-19 mRNA Vaccine Moderna,4541903,Dose 2,0,,0,,16 years and over
20201210,Covid-19 mRNA Vaccine Pfizer,4541903,Dose 1,4924,,10601,,16 years and over
20201210,Covid-19 mRNA Vaccine Pfizer,4541903,Dose 2,0,,0,,16 years and over
20201210,Covid-19 Vaccine AstraZeneca,4541903,Dose 1,0,,0,,16 years and over
20201210,Covid-19 Vaccine AstraZeneca,4541903,Dose 2,0,,0,,16 years and over
20201210,Total,4541903,Dose 1,4924,,10601,,16 years and over
20201210,Total,4434138,Dose 1,4922,0.111002409036435,10598,0.23900925050145,18 years and over
20201210,Total,2183051,Dose 1,2088,0.0956459560495838,4405,0.20178181819847502,50 years and over
20201210,Total,4541903,Dose 2,0,,0,,16 years and over
20201210,Total,4434138,Dose 2,0,0.0,0,0.0,18 years and over
20201210,Total,2183051,Dose 2,0,0.0,0,0.0,50 years and over
20201211,Covid-19 mRNA Vaccine Moderna,4541903,Dose 1,0,,0,,16 years and over
20201211,Covid-19 mRNA Vaccine Moderna,4541903,Dose 2,0,,0,,16 years and over
20201211,Covid-19 mRNA Vaccine Pfizer,4541903,Dose 1,5260,,15861,,16 years and over
20201211,Covid-19 mRNA Vaccine Pfizer,4541903,Dose 2,0,,0,,16 years and over
20201211,Covid-19 Vaccine AstraZeneca,4541903,Dose 1,0,,0,,16 years and over
20201211,Covid-19 Vaccine AstraZeneca,4541903,Dose 2,0,,0,,16 years and over
20201211,Total,4541903,Dose 1,5260,,15861,,16 years and over
20201211,Total,4434138,Dose 1,5255,0.11851232415409699,15853,0.35752157465554707,18 years and over
20201211,Total,2183051,Dose 1,2236,0.10242545868145099,6641,0.30420727687992605,50 years and over
20201211,Total,4541903,Dose 2,0,,0,,16 years and over
20201211,Total,4434138,Dose 2,0,0.0,0,0.0,18 years and over
20201211,Total,2183051,Dose 2,0,0.0,0,0.0,50 years and over
20201212,Covid-19 mRNA Vaccine Moderna,4541903,Dose 1,0,,0,,16 years and over
20201212,Covid-19 mRNA Vaccine Moderna,4541903,Dose 2,0,,0,,16 years and over
20201212,Covid-19 mRNA Vaccine Pfizer,4541903,Dose 1,2119,,17980,,16 years and over
20201212,Covid-19 mRNA Vaccine Pfizer,4541903,Dose 2,0,,0,,16 years and over
20201212,Covid-19 Vaccine AstraZeneca,4541903,Dose 1,0,,0,,16 years and over
20201212,Covid-19 Vaccine AstraZeneca,4541903,Dose 2,0,,0,,16 years and over
20201212,Total,4541903,Dose 1,2119,,17980,,16 years and over
20201212,Total,4434138,Dose 1,2117,0.0477432141263984,17970,0.40526478878194605,18 years and over
20201212,Total,2183051,Dose 1,815,0.0373330719254841,7456,0.34154034880540995,50 years and over
20201212,Total,4541903,Dose 2,0,,0,,16 years and over
20201212,Total,4434138,Dose 2,0,0.0,0,0.0,18 years and over
20201212,Total,2183051,Dose 2,0,0.0,0,0.0,50 years and over
20201213,Covid-19 mRNA Vaccine Moderna,4541903,Dose 1,0,,0,,16 years and over
20201213,Covid-19 mRNA Vaccine Moderna,4541903,Dose 2,0,,0,,16 years and over
20201213,Covid-19 mRNA Vaccine Pfizer,4541903,Dose 1,1107,,19087,,16 years and over
20201213,Covid-19 mRNA Vaccine Pfizer,4541903,Dose 2,0,,0,,16 years and over
20201213,Covid-19 Vaccine AstraZeneca,4541903,Dose 1,0,,0,,16 years and over
20201213,Covid-19 Vaccine AstraZeneca,4541903,Dose 2,0,,0,,16 years and over
20201213,Total,4541903,Dose 1,1107,,19087,,16 years and over
20201213,Total,4434138,Dose 1,1106,0.0249428412016045,19076,0.43020762998355,18 years and over
20201213,Total,2183051,Dose 1,448,0.0205217376964624,7904,0.362062086501873,50 years and over
20201213,Total,4541903,Dose 2,0,,0,,16 years and over
20201213,Total,4434138,Dose 2,0,0.0,0,0.0,18 years and over
20201213,Total,2183051,Dose 2,0,0.0,0,0.0,50 years and over
20201214,Covid-19 mRNA Vaccine Moderna,4541903,Dose 1,0,,0,,16 years and over
20201214,Covid-19 mRNA Vaccine Moderna,4541903,Dose 2,0,,0,,16 years and over
20201214,Covid-19 mRNA Vaccine Pfizer,4541903,Dose 1,5678,,24765,,16 years and over
20201214,Covid-19 mRNA Vaccine Pfizer,4541903,Dose 2,0,,0,,16 years and over
20201214,Covid-19 Vaccine AstraZeneca,4541903,Dose 1,0,,0,,16 years and over
20201214,Covid-19 Vaccine AstraZeneca,4541903,Dose 2,0,,0,,16 years and over
20201214,Total,4541903,Dose 1,5678,,24765,,16 years and over
20201214,Total,4434138,Dose 1,5676,0.128006841465015,24752,0.5582144714485661,18 years and over
20201214,Total,2183051,Dose 1,2635,0.12070263131736302,10539,0.482764717819236,50 years and over
20201214,Total,4541903,Dose 2,0,,0,,16 years and over
20201214,Total,4434138,Dose 2,0,0.0,0,0.0,18 years and over
20201214,Total,2183051,Dose 2,0,0.0,0,0.0,50 years and over
20201215,Covid-19 mRNA Vaccine Moderna,4541903,Dose 1,0,,0,,16 years and over
20201215,Covid-19 mRNA Vaccine Moderna,4541903,Dose 2,0,,0,,16 years and over
20201215,Covid-19 mRNA Vaccine Pfizer,4541903,Dose 1,7303,,32068,,16 years and over
20201215,Covid-19 mRNA Vaccine Pfizer,4541903,Dose 2,0,,0,,16 years and over
20201215,Covid-19 Vaccine AstraZeneca,4541903,Dose 1,0,,0,,16 years and over
20201215,Covid-19 Vaccine AstraZeneca,4541903,Dose 2,0,,0,,16 years and over
20201215,Total,4541903,Dose 1,7303,,32068,,16 years and over
20201215,Total,4434138,Dose 1,7297,0.164564115956698,32049,0.7227785874052629,18 years and over
20201215,Total,2183051,Dose 1,3568,0.163440982368254,14107,0.64620570018749,50 years and over
20201215,Total,4541903,Dose 2,0,,0,,16 years and over
20201215,Total,4434138,Dose 2,0,0.0,0,0.0,18 years and over
20201215,Total,2183051,Dose 2,0,0.0,0,0.0,50 years and over
20201216,Covid-19 mRNA Vaccine Moderna,4541903,Dose 1,0,,0,,16 years and over
20201216,Covid-19 mRNA Vaccine Moderna,4541903,Dose 2,0,,0,,16 years and over
20201216,Covid-19 mRNA Vaccine Pfizer,4541903,Dose 1,7135,,39203,,16 years and over
20201216,Covid-19 mRNA Vaccine Pfizer,4541903,Dose 2,0,,0,,16 years and over
20201216,Covid-19 Vaccine AstraZeneca,4541903,Dose 1,0,,0,,16 years and over
20201216,Covid-19 Vaccine AstraZeneca,4541903,Dose 2,0,,0,,16 years and over
20201216,Total,4541903,Dose 1,7135,,39203,,16 years and over
20201216,Total,4434138,Dose 1,7128,0.16075277765374,39177,0.883531365059004,18 years and over
20201216,Total,2183051,Dose 1,3403,0.15588275308272698,17510,0.802088453270217,50 years and over
20201216,Total,4541903,Dose 2,0,,0,,16 years and over
20201216,Total,4434138,Dose 2,0,0.0,0,0.0,18 years and over
20201216,Total,2183051,Dose 2,0,0.0,0,0.0,50 years and over
20201217,Covid-19 mRNA Vaccine Moderna,4541903,Dose 1,0,,0,,16 years and over
20201217,Covid-19 mRNA Vaccine Moderna,4541903,Dose 2,0,,0,,16 years and over
20201217,Covid-19 mRNA Vaccine Pfizer,4541903,Dose 1,7024,,46227,,16 years and over
20201217,Covid-19 mRNA Vaccine Pfizer,4541903,Dose 2,0,,0,,16 years and over
20201217,Covid-19 Vaccine AstraZeneca,4541903,Dose 1,0,,0,,16 years and over
20201217,Covid-19 Vaccine AstraZeneca,4541903,Dose 2,0,,0,,16 years and over
20201217,Total,4541903,Dose 1,7024,,46227,,16 years and over
20201217,Total,4434138,Dose 1,7019,0.15829457720982099,46196,1.0418259422688199,18 years and over
20201217,Total,2183051,Dose 1,3638,0.166647503883327,21148,0.9687359571535429,50 years and over
20201217,Total,4541903,Dose 2,0,,0,,16 years and over
20201217,Total,4434138,Dose 2,0,0.0,0,0.0,18 years and over
20201217,Total,2183051,Dose 2,0,0.0,0,0.0,50 years and over
20201218,Covid-19 mRNA Vaccine Moderna,4541903,Dose 1,0,,0,,16 years and over
20201218,Covid-19 mRNA Vaccine Moderna,4541903,Dose 2,0,,0,,16 years and over
20201218,Covid-19 mRNA Vaccine Pfizer,4541903,Dose 1,8461,,54688,,16 years and over
20201218,Covid-19 mRNA Vaccine Pfizer,4541903,Dose 2,0,,0,,16 years and over
20201218,Covid-19 Vaccine AstraZeneca,4541903,Dose 1,0,,0,,16 years and over
20201218,Covid-19 Vaccine AstraZeneca,4541903,Dose 2,0,,0,,16 years and over
20201218,Total,4541903,Dose 1,8461,,54688,,16 years and over
20201218,Total,4434138,Dose 1,8451,0.190589467445533,54647,1.23241540971436,18 years and over
20201218,Total,2183051,Dose 1,4634,0.21227172429778302,25782,1.18100768145133,50 years and over
20201218,Total,4541903,Dose 2,0,,0,,16 years and over
20201218,Total,4434138,Dose 2,0,0.0,0,0.0,18 years and over
20201218,Total,2183051,Dose 2,0,0.0,0,0.0,50 years and over
20201219,Covid-19 mRNA Vaccine Moderna,4541903,Dose 1,0,,0,,16 years and over
20201219,Covid-19 mRNA Vaccine Moderna,4541903,Dose 2,0,,0,,16 years and over
20201219,Covid-19 mRNA Vaccine Pfizer,4541903,Dose 1,3340,,58028,,16 years and over
20201219,Covid-19 mRNA Vaccine Pfizer,4541903,Dose 2,0,,0,,16 years and over
20201219,Covid-19 Vaccine AstraZeneca,4541903,Dose 1,0,,0,,16 years and over
20201219,Covid-19 Vaccine AstraZeneca,4541903,Dose 2,0,,0,,16 years and over
20201219,Total,4541903,Dose 1,3340,,58028,,16 years and over
20201219,Total,4434138,Dose 1,3338,0.0752795695578261,57985,1.30769497927218,18 years and over
20201219,Total,2183051,Dose 1,1677,0.0768190940110881,27459,1.25782677546241,50 years and over
20201219,Total,4541903,Dose 2,0,,0,,16 years and over
20201219,Total,4434138,Dose 2,0,0.0,0,0.0,18 years and over
20201219,Total,2183051,Dose 2,0,0.0,0,0.0,50 years and over
20201220,Covid-19 mRNA Vaccine Moderna,4541903,Dose 1,0,,0,,16 years and over
20201220,Covid-19 mRNA Vaccine Moderna,4541903,Dose 2,0,,0,,16 years and over
20201220,Covid-19 mRNA Vaccine Pfizer,4541903,Dose 1,2518,,60546,,16 years and over
20201220,Covid-19 mRNA Vaccine Pfizer,4541903,Dose 2,0,,0,,16 years and over
20201220,Covid-19 Vaccine AstraZeneca,4541903,Dose 1,0,,0,,16 years and over
20201220,Covid-19 Vaccine AstraZeneca,4541903,Dose 2,0,,0,,16 years and over
20201220,Total,4541903,Dose 1,2518,,60546,,16 years and over
20201220,Total,4434138,Dose 1,2514,0.0566964762937013,60499,1.36439145556588,18 years and over
20201220,Total,2183051,Dose 1,1356,0.0621149024919711,28815,1.31994167795439,50 years and over
20201220,Total,4541903,Dose 2,0,,0,,16 years and over
20201220,Total,4434138,Dose 2,0,0.0,0,0.0,18 years and over
20201220,Total,2183051,Dose 2,0,0.0,0,0.0,50 years and over
