date,Adult care homes - Staff absence rate
2020-04-21,10.0287533926316
2020-04-28,9.23715274696015
2020-05-05,8.46024468354722
2020-05-12,7.32182236193872
2020-05-19,7.30679460580913
2020-05-26,6.6
2020-06-02,6.1
2020-06-09,5.1
2020-06-16,5.3
2020-06-23,5.0
2020-06-30,4.6
2020-07-07,4.2
2020-07-14,4.3
2020-07-21,4.1
2020-07-28,3.8
2020-08-04,2.0
2020-08-11,1.4
2020-08-18,1.2
2020-08-25,1.4
2020-09-01,1.2
2020-09-08,1.3
2020-09-15,1.2
2020-09-22,1.2
2020-09-29,1.2
2020-10-06,1.5
2020-10-13,2.0
2020-10-20,2.3
2020-10-27,2.6
2020-11-03,2.2
2020-11-10,2.4
2020-11-17,2.4
2020-11-24,1.9
2020-12-01,1.9
2020-12-08,1.9
2020-12-15,2.2
2020-12-22,1.7
2021-01-05,3.6
