date,Lanarkshire
2011-01-12,294
2020-09-11,10
2020-09-12,6
2020-09-13,7
2020-09-14,10
2020-09-15,9
2020-09-16,9
2020-09-17,9
2020-09-18,9
2020-09-19,10
2020-09-20,10
2020-09-21,12
2020-09-22,13
2020-09-23,18
2020-09-24,23
2020-09-25,20
2020-09-26,22
2020-09-27,24
2020-09-28,33
2020-09-29,34
2020-09-30,33
2020-10-01,38
2020-10-02,43
2020-10-03,44
2020-10-04,50
2020-10-05,59
2020-10-06,65
2020-10-07,72
2020-10-08,86
2020-10-09,86
2020-10-10,92
2020-10-11,103
2020-10-12,114
2020-10-13,109
2020-10-14,122
2020-10-15,124
2020-10-16,139
2020-10-17,151
2020-10-18,169
2020-10-19,185
2020-10-20,218
2020-10-21,220
2020-10-22,227
2020-10-23,232
2020-10-24,230
2020-10-25,243
2020-10-26,252
2020-10-27,250
2020-10-28,254
2020-10-29,256
2020-10-30,259
2020-10-31,243
2020-11-01,266
2020-11-02,277
2020-11-03,281
2020-11-04,273
2020-11-05,261
2020-11-06,275
2020-11-07,285
2020-11-08,290
2020-11-09,276
2020-11-10,273
2020-11-11,276
2020-11-12,267
2020-11-13,264
2020-11-14,248
2020-11-15,262
2020-11-16,259
2020-11-17,260
2020-11-18,252
2020-11-19,239
2020-11-20,247
2020-11-21,252
2020-11-22,252
2020-11-23,259
2020-11-24,254
2020-11-25,246
2020-11-26,238
2020-11-27,232
2020-11-28,237
2020-11-29,233
2020-11-30,231
2020-12-01,217
2020-12-02,206
2020-12-03,190
2020-12-04,186
2020-12-05,180
2020-12-06,180
2020-12-07,191
2020-12-08,181
2020-12-09,180
2020-12-10,188
2020-12-11,188
2020-12-12,166
2020-12-13,168
2020-12-14,171
2020-12-15,164
2020-12-16,174
2020-12-17,177
2020-12-18,167
2020-12-19,155
2020-12-20,166
2020-12-21,160
2020-12-22,154
2020-12-23,161
2020-12-24,162
2020-12-25,153
2020-12-26,161
2020-12-27,160
2020-12-28,169
2020-12-29,183
2020-12-30,185
2020-12-31,201
2021-01-01,203
2021-01-02,209
2021-01-03,212
2021-01-04,220
2021-01-05,225
2021-01-06,236
2021-01-07,237
2021-01-08,263
2021-01-09,284
2021-01-10,283
2021-01-11,306
