date,Ayrshire and Arran
2011-01-12,198
2020-09-11,0
2020-09-12,0
2020-09-13,0
2020-09-14,5
2020-09-15,0
2020-09-16,0
2020-09-17,0
2020-09-18,0
2020-09-19,0
2020-09-20,0
2020-09-21,0
2020-09-22,0
2020-09-23,5
2020-09-24,0
2020-09-25,5
2020-09-26,7
2020-09-27,5
2020-09-28,5
2020-09-29,0
2020-09-30,5
2020-10-01,7
2020-10-02,9
2020-10-03,10
2020-10-04,14
2020-10-05,15
2020-10-06,19
2020-10-07,23
2020-10-08,22
2020-10-09,23
2020-10-10,26
2020-10-11,25
2020-10-12,29
2020-10-13,35
2020-10-14,36
2020-10-15,40
2020-10-16,47
2020-10-17,50
2020-10-18,64
2020-10-19,62
2020-10-20,57
2020-10-21,61
2020-10-22,67
2020-10-23,71
2020-10-24,70
2020-10-25,72
2020-10-26,83
2020-10-27,85
2020-10-28,81
2020-10-29,83
2020-10-30,81
2020-10-31,82
2020-11-01,88
2020-11-02,102
2020-11-03,105
2020-11-04,105
2020-11-05,101
2020-11-06,98
2020-11-07,102
2020-11-08,102
2020-11-09,107
2020-11-10,108
2020-11-11,114
2020-11-12,108
2020-11-13,106
2020-11-14,96
2020-11-15,101
2020-11-16,102
2020-11-17,109
2020-11-18,111
2020-11-19,122
2020-11-20,124
2020-11-21,113
2020-11-22,114
2020-11-23,120
2020-11-24,117
2020-11-25,107
2020-11-26,107
2020-11-27,115
2020-11-28,103
2020-11-29,99
2020-11-30,95
2020-12-01,95
2020-12-02,95
2020-12-03,87
2020-12-04,90
2020-12-05,87
2020-12-06,95
2020-12-07,99
2020-12-08,101
2020-12-09,88
2020-12-10,97
2020-12-11,106
2020-12-12,103
2020-12-13,109
2020-12-14,115
2020-12-15,115
2020-12-16,117
2020-12-17,115
2020-12-18,127
2020-12-19,144
2020-12-20,149
2020-12-21,151
2020-12-22,148
2020-12-23,142
2020-12-24,144
2020-12-25,131
2020-12-26,139
2020-12-27,135
2020-12-28,142
2020-12-29,155
2020-12-30,159
2020-12-31,162
2021-01-01,160
2021-01-02,167
2021-01-03,184
2021-01-04,187
2021-01-05,192
2021-01-06,190
2021-01-07,201
2021-01-08,204
2021-01-09,204
2021-01-10,197
2021-01-11,203
