date,Borders
2011-01-12,37
2020-09-11,0
2020-09-12,0
2020-09-13,0
2020-09-14,0
2020-09-15,0
2020-09-16,0
2020-09-17,0
2020-09-18,0
2020-09-19,0
2020-09-20,0
2020-09-21,0
2020-09-22,0
2020-09-23,0
2020-09-24,0
2020-09-25,0
2020-09-26,0
2020-09-27,0
2020-09-28,0
2020-09-29,0
2020-09-30,0
2020-10-01,0
2020-10-02,0
2020-10-03,0
2020-10-04,0
2020-10-05,0
2020-10-06,0
2020-10-07,0
2020-10-08,0
2020-10-09,0
2020-10-10,0
2020-10-11,0
2020-10-12,6
2020-10-13,6
2020-10-14,5
2020-10-15,5
2020-10-16,5
2020-10-17,0
2020-10-18,5
2020-10-19,5
2020-10-20,5
2020-10-21,5
2020-10-22,5
2020-10-23,5
2020-10-24,6
2020-10-25,6
2020-10-26,6
2020-10-27,7
2020-10-28,0
2020-10-29,5
2020-10-30,0
2020-10-31,0
2020-11-01,0
2020-11-02,0
2020-11-03,6
2020-11-04,0
2020-11-05,0
2020-11-06,0
2020-11-07,0
2020-11-08,0
2020-11-09,0
2020-11-10,0
2020-11-11,0
2020-11-12,0
2020-11-13,0
2020-11-14,0
2020-11-15,0
2020-11-16,6
2020-11-17,8
2020-11-18,9
2020-11-19,12
2020-11-20,11
2020-11-21,11
2020-11-22,11
2020-11-23,11
2020-11-24,13
2020-11-25,12
2020-11-26,12
2020-11-27,10
2020-11-28,11
2020-11-29,8
2020-11-30,9
2020-12-01,11
2020-12-02,10
2020-12-03,11
2020-12-04,10
2020-12-05,9
2020-12-06,7
2020-12-07,6
2020-12-08,6
2020-12-09,12
2020-12-10,13
2020-12-11,14
2020-12-12,21
2020-12-13,20
2020-12-14,20
2020-12-15,21
2020-12-16,22
2020-12-17,22
2020-12-18,25
2020-12-19,24
2020-12-20,23
2020-12-21,22
2020-12-22,30
2020-12-23,32
2020-12-24,30
2020-12-25,32
2020-12-26,27
2020-12-27,28
2020-12-28,32
2020-12-29,31
2020-12-30,32
2020-12-31,34
2021-01-01,36
2021-01-02,36
2021-01-03,39
2021-01-04,39
2021-01-05,37
2021-01-06,38
2021-01-07,41
2021-01-08,39
2021-01-09,38
2021-01-10,37
2021-01-11,40
