date,Dumfries and Galloway
2011-01-12,48
2020-09-11,0
2020-09-12,0
2020-09-13,0
2020-09-14,0
2020-09-15,0
2020-09-16,0
2020-09-17,0
2020-09-18,0
2020-09-19,0
2020-09-20,0
2020-09-21,0
2020-09-22,0
2020-09-23,0
2020-09-24,0
2020-09-25,0
2020-09-26,0
2020-09-27,0
2020-09-28,0
2020-09-29,0
2020-09-30,0
2020-10-01,0
2020-10-02,0
2020-10-03,0
2020-10-04,0
2020-10-05,0
2020-10-06,0
2020-10-07,0
2020-10-08,0
2020-10-09,5
2020-10-10,0
2020-10-11,0
2020-10-12,6
2020-10-13,6
2020-10-14,6
2020-10-15,6
2020-10-16,5
2020-10-17,7
2020-10-18,7
2020-10-19,5
2020-10-20,5
2020-10-21,7
2020-10-22,9
2020-10-23,13
2020-10-24,13
2020-10-25,13
2020-10-26,16
2020-10-27,12
2020-10-28,10
2020-10-29,10
2020-10-30,8
2020-10-31,9
2020-11-01,7
2020-11-02,7
2020-11-03,6
2020-11-04,8
2020-11-05,5
2020-11-06,5
2020-11-07,8
2020-11-08,10
2020-11-09,9
2020-11-10,10
2020-11-11,9
2020-11-12,8
2020-11-13,9
2020-11-14,10
2020-11-15,11
2020-11-16,11
2020-11-17,10
2020-11-18,10
2020-11-19,12
2020-11-20,8
2020-11-21,9
2020-11-22,8
2020-11-23,7
2020-11-24,7
2020-11-25,6
2020-11-26,9
2020-11-27,7
2020-11-28,6
2020-11-29,6
2020-11-30,5
2020-12-01,5
2020-12-02,5
2020-12-03,5
2020-12-04,6
2020-12-05,6
2020-12-06,6
2020-12-07,7
2020-12-08,7
2020-12-09,7
2020-12-10,7
2020-12-11,0
2020-12-12,0
2020-12-13,0
2020-12-14,0
2020-12-15,0
2020-12-16,0
2020-12-17,0
2020-12-18,5
2020-12-19,5
2020-12-20,7
2020-12-21,7
2020-12-22,7
2020-12-23,7
2020-12-24,6
2020-12-25,7
2020-12-26,7
2020-12-27,7
2020-12-28,8
2020-12-29,9
2020-12-30,10
2020-12-31,14
2021-01-01,17
2021-01-02,17
2021-01-03,14
2021-01-04,15
2021-01-05,20
2021-01-06,19
2021-01-07,29
2021-01-08,38
2021-01-09,44
2021-01-10,44
2021-01-11,45
