date,Fife
2011-01-12,87
2020-09-11,0
2020-09-12,0
2020-09-13,0
2020-09-14,0
2020-09-15,0
2020-09-16,0
2020-09-17,0
2020-09-18,0
2020-09-19,0
2020-09-20,0
2020-09-21,0
2020-09-22,0
2020-09-23,0
2020-09-24,0
2020-09-25,0
2020-09-26,0
2020-09-27,0
2020-09-28,0
2020-09-29,0
2020-09-30,0
2020-10-01,0
2020-10-02,0
2020-10-03,0
2020-10-04,0
2020-10-05,0
2020-10-06,5
2020-10-07,8
2020-10-08,7
2020-10-09,5
2020-10-10,5
2020-10-11,0
2020-10-12,0
2020-10-13,6
2020-10-14,7
2020-10-15,11
2020-10-16,9
2020-10-17,12
2020-10-18,12
2020-10-19,15
2020-10-20,18
2020-10-21,22
2020-10-22,20
2020-10-23,21
2020-10-24,23
2020-10-25,26
2020-10-26,27
2020-10-27,28
2020-10-28,23
2020-10-29,24
2020-10-30,27
2020-10-31,43
2020-11-01,46
2020-11-02,48
2020-11-03,50
2020-11-04,51
2020-11-05,59
2020-11-06,58
2020-11-07,55
2020-11-08,57
2020-11-09,58
2020-11-10,57
2020-11-11,55
2020-11-12,52
2020-11-13,56
2020-11-14,53
2020-11-15,53
2020-11-16,54
2020-11-17,55
2020-11-18,50
2020-11-19,52
2020-11-20,54
2020-11-21,51
2020-11-22,52
2020-11-23,50
2020-11-24,48
2020-11-25,55
2020-11-26,50
2020-11-27,49
2020-11-28,46
2020-11-29,40
2020-11-30,38
2020-12-01,36
2020-12-02,31
2020-12-03,32
2020-12-04,28
2020-12-05,26
2020-12-06,26
2020-12-07,29
2020-12-08,33
2020-12-09,30
2020-12-10,35
2020-12-11,36
2020-12-12,41
2020-12-13,40
2020-12-14,43
2020-12-15,44
2020-12-16,44
2020-12-17,41
2020-12-18,44
2020-12-19,46
2020-12-20,42
2020-12-21,46
2020-12-22,48
2020-12-23,44
2020-12-24,42
2020-12-25,46
2020-12-26,41
2020-12-27,45
2020-12-28,50
2020-12-29,57
2020-12-30,56
2020-12-31,53
2021-01-01,53
2021-01-02,58
2021-01-03,58
2021-01-04,62
2021-01-05,60
2021-01-06,67
2021-01-07,75
2021-01-08,72
2021-01-09,76
2021-01-10,79
2021-01-11,82
