date,Grampian
2011-01-12,110
2020-09-11,0
2020-09-12,0
2020-09-13,0
2020-09-14,0
2020-09-15,0
2020-09-16,0
2020-09-17,0
2020-09-18,0
2020-09-19,0
2020-09-20,0
2020-09-21,0
2020-09-22,0
2020-09-23,0
2020-09-24,0
2020-09-25,0
2020-09-26,0
2020-09-27,0
2020-09-28,0
2020-09-29,0
2020-09-30,0
2020-10-01,0
2020-10-02,0
2020-10-03,0
2020-10-04,0
2020-10-05,0
2020-10-06,0
2020-10-07,0
2020-10-08,5
2020-10-09,7
2020-10-10,11
2020-10-11,11
2020-10-12,14
2020-10-13,17
2020-10-14,20
2020-10-15,21
2020-10-16,23
2020-10-17,27
2020-10-18,29
2020-10-19,29
2020-10-20,32
2020-10-21,30
2020-10-22,30
2020-10-23,29
2020-10-24,30
2020-10-25,30
2020-10-26,28
2020-10-27,28
2020-10-28,27
2020-10-29,23
2020-10-30,23
2020-10-31,24
2020-11-01,29
2020-11-02,28
2020-11-03,32
2020-11-04,36
2020-11-05,30
2020-11-06,30
2020-11-07,30
2020-11-08,30
2020-11-09,32
2020-11-10,37
2020-11-11,37
2020-11-12,36
2020-11-13,39
2020-11-14,42
2020-11-15,46
2020-11-16,46
2020-11-17,44
2020-11-18,48
2020-11-19,46
2020-11-20,46
2020-11-21,47
2020-11-22,48
2020-11-23,51
2020-11-24,49
2020-11-25,55
2020-11-26,55
2020-11-27,52
2020-11-28,53
2020-11-29,55
2020-11-30,54
2020-12-01,58
2020-12-02,56
2020-12-03,57
2020-12-04,57
2020-12-05,57
2020-12-06,58
2020-12-07,60
2020-12-08,65
2020-12-09,60
2020-12-10,61
2020-12-11,61
2020-12-12,63
2020-12-13,60
2020-12-14,56
2020-12-15,51
2020-12-16,49
2020-12-17,51
2020-12-18,51
2020-12-19,53
2020-12-20,56
2020-12-21,53
2020-12-22,49
2020-12-23,45
2020-12-24,43
2020-12-25,42
2020-12-26,51
2020-12-27,47
2020-12-28,52
2020-12-29,59
2020-12-30,66
2020-12-31,72
2021-01-01,74
2021-01-02,83
2021-01-03,75
2021-01-04,79
2021-01-05,77
2021-01-06,81
2021-01-07,83
2021-01-08,85
2021-01-09,89
2021-01-10,94
2021-01-11,98
