date,Lothian
2011-01-12,190
2020-09-11,0
2020-09-12,0
2020-09-13,0
2020-09-14,0
2020-09-15,0
2020-09-16,0
2020-09-17,0
2020-09-18,5
2020-09-19,5
2020-09-20,5
2020-09-21,5
2020-09-22,6
2020-09-23,7
2020-09-24,8
2020-09-25,11
2020-09-26,11
2020-09-27,11
2020-09-28,17
2020-09-29,16
2020-09-30,24
2020-10-01,21
2020-10-02,19
2020-10-03,21
2020-10-04,23
2020-10-05,23
2020-10-06,31
2020-10-07,35
2020-10-08,39
2020-10-09,43
2020-10-10,53
2020-10-11,47
2020-10-12,54
2020-10-13,53
2020-10-14,65
2020-10-15,64
2020-10-16,60
2020-10-17,65
2020-10-18,74
2020-10-19,74
2020-10-20,83
2020-10-21,92
2020-10-22,97
2020-10-23,106
2020-10-24,107
2020-10-25,110
2020-10-26,108
2020-10-27,118
2020-10-28,131
2020-10-29,143
2020-10-30,151
2020-10-31,145
2020-11-01,140
2020-11-02,137
2020-11-03,155
2020-11-04,181
2020-11-05,181
2020-11-06,173
2020-11-07,182
2020-11-08,179
2020-11-09,169
2020-11-10,171
2020-11-11,173
2020-11-12,166
2020-11-13,166
2020-11-14,160
2020-11-15,169
2020-11-16,171
2020-11-17,172
2020-11-18,164
2020-11-19,163
2020-11-20,154
2020-11-21,154
2020-11-22,150
2020-11-23,152
2020-11-24,160
2020-11-25,155
2020-11-26,148
2020-11-27,148
2020-11-28,146
2020-11-29,137
2020-11-30,134
2020-12-01,132
2020-12-02,128
2020-12-03,136
2020-12-04,132
2020-12-05,124
2020-12-06,124
2020-12-07,124
2020-12-08,124
2020-12-09,125
2020-12-10,129
2020-12-11,133
2020-12-12,134
2020-12-13,144
2020-12-14,139
2020-12-15,145
2020-12-16,165
2020-12-17,161
2020-12-18,168
2020-12-19,171
2020-12-20,174
2020-12-21,172
2020-12-22,167
2020-12-23,157
2020-12-24,156
2020-12-25,167
2020-12-26,165
2020-12-27,167
2020-12-28,176
2020-12-29,182
2020-12-30,185
2020-12-31,193
2021-01-01,206
2021-01-02,193
2021-01-03,194
2021-01-04,185
2021-01-05,192
2021-01-06,197
2021-01-07,207
2021-01-08,201
2021-01-09,204
2021-01-10,191
2021-01-11,191
