date,NHS workforce COVID-19 absences - Other staff
2020-04-01,4898
2020-04-02,5578
2020-04-03,5699
2020-04-04,5170
2020-04-05,5117
2020-04-06,4045
2020-04-07,4315
2020-04-08,4699
2020-04-09,4493
2020-04-10,3967
2020-04-11,3776
2020-04-12,3696
2020-04-13,3155
2020-04-14,3665
2020-04-15,3801
2020-04-16,3972
2020-04-17,3946
2020-04-18,3759
2020-04-19,3870
2020-04-20,3501
2020-04-21,3625
2020-04-22,3680
2020-04-23,3834
2020-04-24,3913
2020-04-25,3665
2020-04-26,3792
2020-04-27,3364
2020-04-28,3540
2020-04-29,3636
2020-04-30,3778
2020-05-01,3575
2020-05-02,3155
2020-05-03,3141
2020-05-04,2589
2020-05-05,2965
2020-05-06,3117
2020-05-07,3233
2020-05-08,3180
2020-05-09,3013
2020-05-10,2988
2020-05-11,2904
2020-05-12,2939
2020-05-13,3120
2020-05-14,3211
2020-05-15,3283
2020-05-16,3071
2020-05-17,3116
2020-05-18,3024
2020-05-19,3126
2020-05-20,3177
2020-05-21,3224
2020-05-22,3216
2020-05-23,2978
2020-05-24,2987
2020-05-25,2899
2020-05-26,2989
2020-05-27,3029
2020-05-28,3094
2020-05-29,3108
2020-05-30,2827
2020-05-31,2822
2020-06-01,2216
2020-06-02,2378
2020-06-03,2466
2020-06-04,2628
2020-06-05,2655
2020-06-06,2464
2020-06-07,2463
2020-06-08,2336
2020-06-09,2483
2020-06-10,2546
2020-06-11,2629
2020-06-12,2656
2020-06-13,2411
2020-06-14,2437
2020-06-15,2232
2020-06-16,2344
2020-06-17,2388
2020-06-18,2424
2020-06-19,2453
2020-06-20,2284
2020-06-21,2273
2020-06-22,2121
2020-06-23,2194
2020-06-24,2260
2020-06-25,2288
2020-06-26,2353
2020-06-27,2182
2020-06-28,2169
2020-06-29,1989
2020-06-30,2062
2020-07-01,1998
2020-07-02,2075
2020-07-03,2129
2020-07-04,1967
2020-07-05,1982
2020-07-06,1769
2020-07-07,1886
2020-07-08,1951
2020-07-09,2072
2020-07-10,2092
2020-07-11,2092
2020-07-12,1804
2020-07-13,1979
2020-07-14,2071
2020-07-15,2128
2020-07-16,2142
2020-07-17,2157
2020-07-18,2075
2020-07-19,2080
2020-07-20,1974
2020-07-21,2041
