date,School education - Percentage absence due to COVID-19 related reasons
2020-08-17,3.64316403
2020-08-18,3.96759492
2020-08-19,4.2600122
2020-08-20,4.98753438
2020-08-21,6.54543058
2020-08-24,8.47233318
2020-08-25,9.49833462
2020-08-26,9.36838898
2020-08-27,10.41521015
2020-08-28,12.29550587
2020-08-31,11.21043427
2020-09-01,10.44491743
2020-09-02,9.46502908
2020-09-03,8.97426664
2020-09-04,9.91812629
2020-09-07,7.60528534
2020-09-08,6.73707922
2020-09-09,6.18814176
2020-09-10,6.11930185
2020-09-11,7.31900925
2020-09-14,5.8668698
2020-09-15,5.57266301
2020-09-16,5.41917958
2020-09-17,5.33633429
2020-09-18,6.3078006
2020-09-21,5.64755409
2020-09-22,5.41015716
2020-09-23,5.40350086
2020-09-24,5.86782893
2020-09-25,6.27036065
2020-09-28,5.78472125
2020-09-29,5.44769815
2020-09-30,5.6160005
2020-10-01,5.64116664
2020-10-02,6.95357277
2020-10-05,5.92351046
2020-10-06,5.75187065
2020-10-07,5.89365891
2020-10-08,6.82992851
2020-10-09,9.47685919
2020-10-12,6.23390873
2020-10-13,6.06219296
2020-10-14,5.87069267
2020-10-15,6.19635611
2020-10-16,9.38774492
2020-10-19,6.75930925
2020-10-20,5.75865781
2020-10-21,5.63821506
2020-10-22,5.92727126
2020-10-23,7.36386304
2020-10-26,4.92653174
2020-10-27,4.7904291
2020-10-28,4.89109067
2020-10-29,5.18582016
2020-10-30,5.9104845
2020-11-02,6.21373695
2020-11-03,5.98229643
2020-11-04,5.70927531
2020-11-05,5.96460033
2020-11-06,7.38296316
2020-11-09,6.03548458
2020-11-10,6.02763556
2020-11-11,6.01180619
2020-11-12,6.17161702
2020-11-13,6.95754149
2020-11-16,6.20693901
2020-11-17,6.49042059
2020-11-18,6.52855663
2020-11-19,6.74442183
2020-11-20,8.21817591
2020-11-23,6.30532074
2020-11-24,6.28018667
2020-11-25,6.04665165
2020-11-26,6.21299638
2020-11-27,7.36366625
2020-11-30,6.59749147
2020-12-01,6.21201436
2020-12-02,6.1939424
2020-12-03,6.65653348
2020-12-04,10.66522801
2020-12-07,6.5067407
2020-12-08,6.49373782
2020-12-09,6.26185456
2020-12-10,6.4313643
2020-12-11,7.32475321
2020-12-14,7.50927426
2020-12-15,7.55176658
2020-12-16,8.13074426
2020-12-17,9.37781165
