week commencing,male___0 years
2019-12-30,2
2020-01-06,0
2020-01-13,2
2020-01-20,0
2020-01-27,1
2020-02-03,5
2020-02-10,4
2020-02-17,1
2020-02-24,2
2020-03-02,0
2020-03-09,2
2020-03-16,1
2020-03-23,1
2020-03-30,1
2020-04-06,5
2020-04-13,0
2020-04-20,1
2020-04-27,0
2020-05-04,1
2020-05-11,2
2020-05-18,2
2020-05-25,2
2020-06-01,1
2020-06-08,1
2020-06-15,1
2020-06-22,2
2020-06-29,1
2020-07-06,0
2020-07-13,4
2020-07-20,1
2020-07-27,0
2020-08-03,0
2020-08-10,0
2020-08-17,1
2020-08-24,2
2020-08-31,1
2020-09-07,1
2020-09-14,1
2020-09-21,4
2020-09-28,4
2020-10-05,1
2020-10-12,1
2020-10-19,4
2020-10-26,1
2020-11-02,1
2020-11-09,2
2020-11-16,1
2020-11-23,2
2020-11-30,3
2020-12-07,0
2020-12-14,0
2020-12-21,1
2020-12-28,3
2021,10
2021-01-04,1
2021-01-11,4
2021-01-18,1
2021-01-25,0
2021-02-01,2
2021-02-08,2
