week commencing,male___45-64 years
2019-12-30,92
2020-01-06,120
2020-01-13,113
2020-01-20,91
2020-01-27,111
2020-02-03,106
2020-02-10,102
2020-02-17,86
2020-02-24,92
2020-03-02,102
2020-03-09,108
2020-03-16,108
2020-03-23,90
2020-03-30,125
2020-04-06,163
2020-04-13,139
2020-04-20,146
2020-04-27,146
2020-05-04,102
2020-05-11,132
2020-05-18,96
2020-05-25,104
2020-06-01,117
2020-06-08,90
2020-06-15,100
2020-06-22,84
2020-06-29,102
2020-07-06,90
2020-07-13,94
2020-07-20,85
2020-07-27,109
2020-08-03,91
2020-08-10,98
2020-08-17,93
2020-08-24,103
2020-08-31,104
2020-09-07,96
2020-09-14,81
2020-09-21,78
2020-09-28,124
2020-10-05,96
2020-10-12,85
2020-10-19,117
2020-10-26,108
2020-11-02,107
2020-11-09,123
2020-11-16,116
2020-11-23,122
2020-11-30,115
2020-12-07,100
2020-12-14,113
2020-12-21,109
2020-12-28,81
2021,770
2021-01-04,135
2021-01-11,130
2021-01-18,143
2021-01-25,127
2021-02-01,116
2021-02-08,119
