week commencing,female___15-44 years
2019-12-30,11
2020-01-06,17
2020-01-13,9
2020-01-20,14
2020-01-27,12
2020-02-03,15
2020-02-10,8
2020-02-17,17
2020-02-24,16
2020-03-02,21
2020-03-09,25
2020-03-16,11
2020-03-23,10
2020-03-30,18
2020-04-06,22
2020-04-13,15
2020-04-20,19
2020-04-27,16
2020-05-04,17
2020-05-11,16
2020-05-18,17
2020-05-25,18
2020-06-01,12
2020-06-08,16
2020-06-15,15
2020-06-22,12
2020-06-29,21
2020-07-06,14
2020-07-13,14
2020-07-20,13
2020-07-27,15
2020-08-03,17
2020-08-10,19
2020-08-17,9
2020-08-24,11
2020-08-31,17
2020-09-07,14
2020-09-14,8
2020-09-21,10
2020-09-28,19
2020-10-05,12
2020-10-12,9
2020-10-19,21
2020-10-26,13
2020-11-02,19
2020-11-09,12
2020-11-16,11
2020-11-23,13
2020-11-30,15
2020-12-07,11
2020-12-14,12
2020-12-21,17
2020-12-28,10
2021,122
2021-01-04,9
2021-01-11,19
2021-01-18,13
2021-01-25,22
2021-02-01,21
2021-02-08,21
2021-02-15,17
