week commencing,female___85 years and over
2019-12-30,266
2020-01-06,357
2020-01-13,288
2020-01-20,273
2020-01-27,232
2020-02-03,251
2020-02-10,233
2020-02-17,239
2020-02-24,253
2020-03-02,264
2020-03-09,235
2020-03-16,223
2020-03-23,248
2020-03-30,337
2020-04-06,403
2020-04-13,447
2020-04-20,438
2020-04-27,419
2020-05-04,305
2020-05-11,323
2020-05-18,293
2020-05-25,258
2020-06-01,200
2020-06-08,217
2020-06-15,219
2020-06-22,213
2020-06-29,191
2020-07-06,192
2020-07-13,209
2020-07-20,183
2020-07-27,201
2020-08-03,196
2020-08-10,172
2020-08-17,190
2020-08-24,188
2020-08-31,172
2020-09-07,210
2020-09-14,186
2020-09-21,202
2020-09-28,262
2020-10-05,225
2020-10-12,240
2020-10-19,215
2020-10-26,240
2020-11-02,266
2020-11-09,257
2020-11-16,324
2020-11-23,266
2020-11-30,254
2020-12-07,280
2020-12-14,298
2020-12-21,230
2020-12-28,233
2021,1922
2021-01-04,344
2021-01-11,330
2021-01-18,336
2021-01-25,353
2021-02-01,293
2021-02-08,266
