week commencing,male___75-84 years
2019-12-30,177
2020-01-06,208
2020-01-13,199
2020-01-20,188
2020-01-27,195
2020-02-03,187
2020-02-10,185
2020-02-17,181
2020-02-24,181
2020-03-02,182
2020-03-09,168
2020-03-16,192
2020-03-23,146
2020-03-30,291
2020-04-06,341
2020-04-13,323
2020-04-20,293
2020-04-27,249
2020-05-04,222
2020-05-11,222
2020-05-18,175
2020-05-25,171
2020-06-01,158
2020-06-08,159
2020-06-15,173
2020-06-22,159
2020-06-29,157
2020-07-06,136
2020-07-13,152
2020-07-20,141
2020-07-27,142
2020-08-03,157
2020-08-10,129
2020-08-17,169
2020-08-24,160
2020-08-31,158
2020-09-07,179
2020-09-14,130
2020-09-21,135
2020-09-28,175
2020-10-05,150
2020-10-12,200
2020-10-19,162
2020-10-26,203
2020-11-02,200
2020-11-09,228
2020-11-16,210
2020-11-23,204
2020-11-30,180
2020-12-07,198
2020-12-14,204
2020-12-21,197
2020-12-28,187
2021,1634
2021-01-04,235
2021-01-11,220
2021-01-18,230
2021-01-25,263
2021-02-01,238
2021-02-08,237
2021-02-15,211
