week commencing,male___85 years and over
2019-12-30,145
2020-01-06,217
2020-01-13,178
2020-01-20,154
2020-01-27,163
2020-02-03,165
2020-02-10,151
2020-02-17,145
2020-02-24,154
2020-03-02,143
2020-03-09,166
2020-03-16,148
2020-03-23,134
2020-03-30,240
2020-04-06,300
2020-04-13,304
2020-04-20,224
2020-04-27,251
2020-05-04,197
2020-05-11,195
2020-05-18,152
2020-05-25,129
2020-06-01,146
2020-06-08,108
2020-06-15,137
2020-06-22,108
2020-06-29,107
2020-07-06,115
2020-07-13,128
2020-07-20,113
2020-07-27,117
2020-08-03,97
2020-08-10,107
2020-08-17,131
2020-08-24,114
2020-08-31,139
2020-09-07,130
2020-09-14,122
2020-09-21,116
2020-09-28,119
2020-10-05,152
2020-10-12,134
2020-10-19,155
2020-10-26,171
2020-11-02,153
2020-11-09,190
2020-11-16,206
2020-11-23,175
2020-11-30,183
2020-12-07,173
2020-12-14,164
2020-12-21,147
2020-12-28,176
2021,1284
2021-01-04,246
2021-01-11,214
2021-01-18,220
2021-01-25,216
2021-02-01,213
2021-02-08,175
