week commencing,male___85 years and over
2020-03-16,1
2020-03-23,4
2020-03-30,31
2020-04-06,100
2020-04-13,131
2020-04-20,96
2020-04-27,96
2020-05-04,65
2020-05-11,61
2020-05-18,51
2020-05-25,25
2020-06-01,16
2020-06-08,8
2020-06-15,11
2020-06-22,4
2020-06-29,1
2020-07-06,2
2020-07-13,0
2020-07-20,0
2020-07-27,0
2020-08-03,0
2020-08-10,0
2020-08-17,0
2020-08-24,2
2020-08-31,0
2020-09-07,0
2020-09-14,3
2020-09-21,3
2020-09-28,0
2020-10-05,4
2020-10-12,8
2020-10-19,13
2020-10-26,33
2020-11-02,36
2020-11-09,40
2020-11-16,32
2020-11-23,44
2020-11-30,50
2020-12-07,39
2020-12-14,42
2020-12-21,29
2020-12-28,33
2021,402
2021-01-04,86
2021-01-11,64
2021-01-18,76
2021-01-25,68
2021-02-01,65
2021-02-08,43
