week commencing,female___75-84 years
2020-03-16,0
2020-03-23,9
2020-03-30,50
2020-04-06,97
2020-04-13,93
2020-04-20,105
2020-04-27,66
2020-05-04,65
2020-05-11,42
2020-05-18,41
2020-05-25,20
2020-06-01,11
2020-06-08,12
2020-06-15,9
2020-06-22,7
2020-06-29,2
2020-07-06,1
2020-07-13,2
2020-07-20,2
2020-07-27,2
2020-08-03,2
2020-08-10,0
2020-08-17,1
2020-08-24,0
2020-08-31,0
2020-09-07,0
2020-09-14,1
2020-09-21,1
2020-09-28,5
2020-10-05,3
2020-10-12,13
2020-10-19,20
2020-10-26,25
2020-11-02,32
2020-11-09,37
2020-11-16,19
2020-11-23,37
2020-11-30,40
2020-12-07,40
2020-12-14,25
2020-12-21,27
2020-12-28,31
2021,330
2021-01-04,61
2021-01-11,46
2021-01-18,64
2021-01-25,43
2021-02-01,56
2021-02-08,60
