week commencing,female___85 years and over
2020-03-16,1
2020-03-23,11
2020-03-30,43
2020-04-06,113
2020-04-13,168
2020-04-20,178
2020-04-27,173
2020-05-04,118
2020-05-11,108
2020-05-18,73
2020-05-25,35
2020-06-01,27
2020-06-08,27
2020-06-15,15
2020-06-22,12
2020-06-29,7
2020-07-06,5
2020-07-13,2
2020-07-20,2
2020-07-27,1
2020-08-03,2
2020-08-10,1
2020-08-17,3
2020-08-24,2
2020-08-31,2
2020-09-07,0
2020-09-14,4
2020-09-21,2
2020-09-28,4
2020-10-05,3
2020-10-12,9
2020-10-19,15
2020-10-26,24
2020-11-02,45
2020-11-09,54
2020-11-16,72
2020-11-23,51
2020-11-30,44
2020-12-07,46
2020-12-14,57
2020-12-21,47
2020-12-28,47
2021,601
2021-01-04,75
2021-01-11,80
2021-01-18,115
2021-01-25,123
2021-02-01,85
2021-02-08,63
2021-02-15,60
