week commencing,male___45-64 years
2020-03-16,0
2020-03-23,9
2020-03-30,18
2020-04-06,47
2020-04-13,31
2020-04-20,37
2020-04-27,25
2020-05-04,19
2020-05-11,15
2020-05-18,7
2020-05-25,4
2020-06-01,7
2020-06-08,2
2020-06-15,1
2020-06-22,3
2020-06-29,2
2020-07-06,0
2020-07-13,0
2020-07-20,0
2020-07-27,1
2020-08-03,0
2020-08-10,0
2020-08-17,0
2020-08-24,1
2020-08-31,0
2020-09-07,0
2020-09-14,2
2020-09-21,1
2020-09-28,1
2020-10-05,1
2020-10-12,6
2020-10-19,9
2020-10-26,8
2020-11-02,11
2020-11-09,23
2020-11-16,23
2020-11-23,21
2020-11-30,16
2020-12-07,17
2020-12-14,9
2020-12-21,7
2020-12-28,9
2021,166
2021-01-04,20
2021-01-11,20
2021-01-18,34
2021-01-25,29
2021-02-01,22
2021-02-08,17
2021-02-15,24
