week commencing,0 years,1-14 years,15-44 years,45-64 years,65-74 years,75-84 years,85 years and over
2019-12-30,3,1,24,153,197,372,411
2020-01-06,0,3,59,215,288,428,574
2020-01-13,3,0,36,193,239,385,466
2020-01-20,1,3,50,171,231,343,427
2020-01-27,3,3,31,174,214,368,395
2020-02-03,6,4,31,170,211,378,416
2020-02-10,4,1,39,166,240,328,384
2020-02-17,2,2,45,151,224,354,384
2020-02-24,2,3,47,165,214,333,407
2020-03-02,3,0,48,173,217,360,407
2020-03-09,5,2,51,183,225,331,401
2020-03-16,4,0,41,189,228,363,371
2020-03-23,5,1,26,146,202,317,382
2020-03-30,3,2,61,226,333,542,577
2020-04-06,6,2,55,241,330,641,703
2020-04-13,3,0,47,214,295,606,751
2020-04-20,2,1,54,230,309,578,662
2020-04-27,1,1,51,207,270,479,670
2020-05-04,2,2,39,182,241,467,502
2020-05-11,4,2,57,203,231,406,518
2020-05-18,4,3,46,164,215,349,445
2020-05-25,2,2,46,165,197,329,387
2020-06-01,4,0,51,164,206,322,346
2020-06-08,2,1,52,139,205,310,325
2020-06-15,2,0,48,153,172,334,356
2020-06-22,3,6,48,139,171,320,321
2020-06-29,2,0,53,161,190,279,298
2020-07-06,0,3,49,146,194,277,307
2020-07-13,6,1,47,156,191,295,337
2020-07-20,1,2,50,153,161,298,296
2020-07-27,1,3,45,175,192,309,318
2020-08-03,0,0,49,153,208,308,293
2020-08-10,2,2,53,156,187,243,279
2020-08-17,1,2,42,158,204,318,321
2020-08-24,5,0,46,166,212,299,302
2020-08-31,1,2,48,172,221,295,311
2020-09-07,2,0,44,156,206,321,340
2020-09-14,6,1,40,154,174,269,308
2020-09-21,6,0,37,138,169,265,318
2020-09-28,4,2,46,199,221,343,381
2020-10-05,1,1,42,147,166,338,377
2020-10-12,1,0,40,148,193,378,374
2020-10-19,4,0,52,184,241,336,370
2020-10-26,1,3,39,172,243,393,411
2020-11-02,4,3,53,170,229,372,419
2020-11-09,4,2,31,207,238,409,447
2020-11-16,2,0,37,190,250,351,530
2020-11-23,6,2,43,199,248,390,441
2020-11-30,3,1,40,184,263,368,437
2020-12-07,0,0,41,175,238,377,453
2020-12-14,2,2,38,188,219,386,462
2020-12-21,1,0,46,193,226,362,377
2020-12-28,3,3,28,140,217,378,409
2021,21,7,323,1335,1691,2756,3206
2021-01-04,3,1,56,241,323,506,590
2021-01-11,4,2,59,228,285,428,544
2021-01-18,3,1,53,220,277,449,556
2021-01-25,1,1,54,223,278,478,569
2021-02-01,4,0,54,215,261,466,506
2021-02-08,6,2,47,208,267,429,441
