week commencing,0 years
2019-12-30,3
2020-01-06,0
2020-01-13,3
2020-01-20,1
2020-01-27,3
2020-02-03,6
2020-02-10,4
2020-02-17,2
2020-02-24,2
2020-03-02,3
2020-03-09,5
2020-03-16,4
2020-03-23,5
2020-03-30,3
2020-04-06,6
2020-04-13,3
2020-04-20,2
2020-04-27,1
2020-05-04,2
2020-05-11,4
2020-05-18,4
2020-05-25,2
2020-06-01,4
2020-06-08,2
2020-06-15,2
2020-06-22,3
2020-06-29,2
2020-07-06,0
2020-07-13,6
2020-07-20,1
2020-07-27,1
2020-08-03,0
2020-08-10,2
2020-08-17,1
2020-08-24,5
2020-08-31,1
2020-09-07,2
2020-09-14,6
2020-09-21,6
2020-09-28,4
2020-10-05,1
2020-10-12,1
2020-10-19,4
2020-10-26,1
2020-11-02,4
2020-11-09,4
2020-11-16,2
2020-11-23,6
2020-11-30,3
2020-12-07,0
2020-12-14,2
2020-12-21,1
2020-12-28,3
2021,21
2021-01-04,3
2021-01-11,4
2021-01-18,3
2021-01-25,1
2021-02-01,4
2021-02-08,6
