week commencing,15-44 years
2019-12-30,24
2020-01-06,59
2020-01-13,36
2020-01-20,50
2020-01-27,31
2020-02-03,31
2020-02-10,39
2020-02-17,45
2020-02-24,47
2020-03-02,48
2020-03-09,51
2020-03-16,41
2020-03-23,26
2020-03-30,61
2020-04-06,55
2020-04-13,47
2020-04-20,54
2020-04-27,51
2020-05-04,39
2020-05-11,57
2020-05-18,46
2020-05-25,46
2020-06-01,51
2020-06-08,52
2020-06-15,48
2020-06-22,48
2020-06-29,53
2020-07-06,49
2020-07-13,47
2020-07-20,50
2020-07-27,45
2020-08-03,49
2020-08-10,53
2020-08-17,42
2020-08-24,46
2020-08-31,48
2020-09-07,44
2020-09-14,40
2020-09-21,37
2020-09-28,46
2020-10-05,42
2020-10-12,40
2020-10-19,52
2020-10-26,39
2020-11-02,53
2020-11-09,31
2020-11-16,37
2020-11-23,43
2020-11-30,40
2020-12-07,41
2020-12-14,38
2020-12-21,46
2020-12-28,28
2021,367
2021-01-04,56
2021-01-11,59
2021-01-18,53
2021-01-25,54
2021-02-01,54
2021-02-08,47
2021-02-15,44
