week commencing,75-84 years
2020-03-16,3
2020-03-23,24
2020-03-30,107
2020-04-06,228
2020-04-13,222
2020-04-20,227
2020-04-27,144
2020-05-04,144
2020-05-11,93
2020-05-18,71
2020-05-25,45
2020-06-01,25
2020-06-08,24
2020-06-15,16
2020-06-22,13
2020-06-29,7
2020-07-06,4
2020-07-13,4
2020-07-20,5
2020-07-27,2
2020-08-03,2
2020-08-10,0
2020-08-17,2
2020-08-24,1
2020-08-31,0
2020-09-07,3
2020-09-14,2
2020-09-21,4
2020-09-28,12
2020-10-05,9
2020-10-12,39
2020-10-19,42
2020-10-26,58
2020-11-02,72
2020-11-09,99
2020-11-16,68
2020-11-23,82
2020-11-30,77
2020-12-07,83
2020-12-14,70
2020-12-21,58
2020-12-28,60
2021,721
2021-01-04,122
2021-01-11,105
2021-01-18,133
2021-01-25,112
2021-02-01,126
2021-02-08,123
