week commencing,85 years and over
2020-03-16,2
2020-03-23,15
2020-03-30,74
2020-04-06,213
2020-04-13,299
2020-04-20,274
2020-04-27,269
2020-05-04,183
2020-05-11,169
2020-05-18,124
2020-05-25,60
2020-06-01,43
2020-06-08,35
2020-06-15,26
2020-06-22,16
2020-06-29,8
2020-07-06,7
2020-07-13,2
2020-07-20,2
2020-07-27,1
2020-08-03,2
2020-08-10,1
2020-08-17,3
2020-08-24,4
2020-08-31,2
2020-09-07,0
2020-09-14,7
2020-09-21,5
2020-09-28,4
2020-10-05,7
2020-10-12,17
2020-10-19,28
2020-10-26,57
2020-11-02,81
2020-11-09,94
2020-11-16,104
2020-11-23,95
2020-11-30,94
2020-12-07,85
2020-12-14,99
2020-12-21,76
2020-12-28,80
2021,942
2021-01-04,161
2021-01-11,144
2021-01-18,191
2021-01-25,191
2021-02-01,150
2021-02-08,105
