week commencing,Aberdeenshire
2019-12-30,48
2020-01-06,69
2020-01-13,56
2020-01-20,55
2020-01-27,45
2020-02-03,54
2020-02-10,60
2020-02-17,63
2020-02-24,47
2020-03-02,31
2020-03-09,64
2020-03-16,58
2020-03-23,53
2020-03-30,54
2020-04-06,85
2020-04-13,76
2020-04-20,84
2020-04-27,69
2020-05-04,63
2020-05-11,53
2020-05-18,32
2020-05-25,34
2020-06-01,42
2020-06-08,41
2020-06-15,40
2020-06-22,39
2020-06-29,31
2020-07-06,49
2020-07-13,43
2020-07-20,35
2020-07-27,62
2020-08-03,33
2020-08-10,47
2020-08-17,48
2020-08-24,41
2020-08-31,43
2020-09-07,46
2020-09-14,46
2020-09-21,51
2020-09-28,43
2020-10-05,44
2020-10-12,51
2020-10-19,49
2020-10-26,45
2020-11-02,45
2020-11-09,38
2020-11-16,49
2020-11-23,40
2020-11-30,44
2020-12-07,60
2020-12-14,56
2020-12-21,59
2020-12-28,67
2021,456
2021-01-04,68
2021-01-11,55
2021-01-18,77
2021-01-25,80
2021-02-01,58
2021-02-08,60
2021-02-15,58
