week commencing,Clackmannanshire
2019-12-30,11
2020-01-06,13
2020-01-13,18
2020-01-20,16
2020-01-27,17
2020-02-03,7
2020-02-10,20
2020-02-17,12
2020-02-24,9
2020-03-02,11
2020-03-09,10
2020-03-16,15
2020-03-23,14
2020-03-30,16
2020-04-06,19
2020-04-13,11
2020-04-20,13
2020-04-27,21
2020-05-04,21
2020-05-11,13
2020-05-18,10
2020-05-25,12
2020-06-01,11
2020-06-08,9
2020-06-15,9
2020-06-22,11
2020-06-29,11
2020-07-06,7
2020-07-13,13
2020-07-20,5
2020-07-27,5
2020-08-03,7
2020-08-10,5
2020-08-17,10
2020-08-24,12
2020-08-31,9
2020-09-07,13
2020-09-14,14
2020-09-21,12
2020-09-28,9
2020-10-05,13
2020-10-12,18
2020-10-19,10
2020-10-26,9
2020-11-02,11
2020-11-09,8
2020-11-16,13
2020-11-23,4
2020-11-30,17
2020-12-07,10
2020-12-14,10
2020-12-21,20
2020-12-28,14
2021,116
2021-01-04,18
2021-01-11,14
2021-01-18,16
2021-01-25,16
2021-02-01,15
2021-02-08,14
2021-02-15,23
