week commencing,Dundee City
2019-12-30,35
2020-01-06,60
2020-01-13,50
2020-01-20,40
2020-01-27,36
2020-02-03,28
2020-02-10,32
2020-02-17,41
2020-02-24,42
2020-03-02,28
2020-03-09,26
2020-03-16,31
2020-03-23,30
2020-03-30,46
2020-04-06,71
2020-04-13,78
2020-04-20,51
2020-04-27,63
2020-05-04,41
2020-05-11,53
2020-05-18,42
2020-05-25,36
2020-06-01,27
2020-06-08,38
2020-06-15,34
2020-06-22,21
2020-06-29,42
2020-07-06,33
2020-07-13,37
2020-07-20,28
2020-07-27,21
2020-08-03,29
2020-08-10,24
2020-08-17,25
2020-08-24,31
2020-08-31,23
2020-09-07,37
2020-09-14,33
2020-09-21,26
2020-09-28,45
2020-10-05,28
2020-10-12,23
2020-10-19,31
2020-10-26,25
2020-11-02,35
2020-11-09,40
2020-11-16,40
2020-11-23,37
2020-11-30,38
2020-12-07,28
2020-12-14,34
2020-12-21,27
2020-12-28,33
2021,313
2021-01-04,50
2021-01-11,66
2021-01-18,40
2021-01-25,42
2021-02-01,49
2021-02-08,28
2021-02-15,38
