week commencing,East Dunbartonshire
2019-12-30,21
2020-01-06,25
2020-01-13,31
2020-01-20,16
2020-01-27,29
2020-02-03,21
2020-02-10,31
2020-02-17,16
2020-02-24,29
2020-03-02,25
2020-03-09,20
2020-03-16,41
2020-03-23,10
2020-03-30,44
2020-04-06,32
2020-04-13,35
2020-04-20,48
2020-04-27,39
2020-05-04,39
2020-05-11,26
2020-05-18,38
2020-05-25,24
2020-06-01,24
2020-06-08,21
2020-06-15,20
2020-06-22,20
2020-06-29,14
2020-07-06,14
2020-07-13,21
2020-07-20,17
2020-07-27,19
2020-08-03,24
2020-08-10,16
2020-08-17,13
2020-08-24,25
2020-08-31,27
2020-09-07,24
2020-09-14,21
2020-09-21,17
2020-09-28,14
2020-10-05,24
2020-10-12,24
2020-10-19,22
2020-10-26,35
2020-11-02,25
2020-11-09,43
2020-11-16,32
2020-11-23,27
2020-11-30,22
2020-12-07,19
2020-12-14,22
2020-12-21,28
2020-12-28,24
2021,214
2021-01-04,26
2021-01-11,28
2021-01-18,24
2021-01-25,38
2021-02-01,35
2021-02-08,26
2021-02-15,37
