week commencing,East Lothian
2019-12-30,23
2020-01-06,34
2020-01-13,26
2020-01-20,24
2020-01-27,17
2020-02-03,28
2020-02-10,22
2020-02-17,19
2020-02-24,23
2020-03-02,23
2020-03-09,23
2020-03-16,18
2020-03-23,15
2020-03-30,26
2020-04-06,55
2020-04-13,36
2020-04-20,36
2020-04-27,25
2020-05-04,23
2020-05-11,25
2020-05-18,16
2020-05-25,18
2020-06-01,24
2020-06-08,14
2020-06-15,18
2020-06-22,12
2020-06-29,20
2020-07-06,27
2020-07-13,18
2020-07-20,29
2020-07-27,12
2020-08-03,12
2020-08-10,20
2020-08-17,11
2020-08-24,21
2020-08-31,19
2020-09-07,19
2020-09-14,14
2020-09-21,13
2020-09-28,27
2020-10-05,12
2020-10-12,22
2020-10-19,24
2020-10-26,28
2020-11-02,15
2020-11-09,17
2020-11-16,32
2020-11-23,21
2020-11-30,11
2020-12-07,16
2020-12-14,23
2020-12-21,21
2020-12-28,18
2021,196
2021-01-04,35
2021-01-11,20
2021-01-18,29
2021-01-25,29
2021-02-01,27
2021-02-08,24
2021-02-15,32
