week commencing,East Renfrewshire
2019-12-30,13
2020-01-06,26
2020-01-13,23
2020-01-20,24
2020-01-27,18
2020-02-03,20
2020-02-10,24
2020-02-17,18
2020-02-24,16
2020-03-02,19
2020-03-09,10
2020-03-16,14
2020-03-23,20
2020-03-30,20
2020-04-06,32
2020-04-13,39
2020-04-20,28
2020-04-27,27
2020-05-04,35
2020-05-11,31
2020-05-18,22
2020-05-25,9
2020-06-01,19
2020-06-08,14
2020-06-15,15
2020-06-22,18
2020-06-29,16
2020-07-06,21
2020-07-13,11
2020-07-20,17
2020-07-27,21
2020-08-03,10
2020-08-10,9
2020-08-17,16
2020-08-24,18
2020-08-31,18
2020-09-07,17
2020-09-14,13
2020-09-21,12
2020-09-28,18
2020-10-05,13
2020-10-12,17
2020-10-19,24
2020-10-26,22
2020-11-02,22
2020-11-09,28
2020-11-16,28
2020-11-23,23
2020-11-30,29
2020-12-07,13
2020-12-14,23
2020-12-21,14
2020-12-28,18
2021,167
2021-01-04,28
2021-01-11,26
2021-01-18,22
2021-01-25,21
2021-02-01,29
2021-02-08,21
2021-02-15,20
