week commencing,Falkirk
2019-12-30,45
2020-01-06,61
2020-01-13,36
2020-01-20,40
2020-01-27,29
2020-02-03,31
2020-02-10,32
2020-02-17,35
2020-02-24,31
2020-03-02,48
2020-03-09,28
2020-03-16,31
2020-03-23,48
2020-03-30,48
2020-04-06,57
2020-04-13,47
2020-04-20,61
2020-04-27,63
2020-05-04,54
2020-05-11,48
2020-05-18,39
2020-05-25,28
2020-06-01,41
2020-06-08,36
2020-06-15,27
2020-06-22,40
2020-06-29,27
2020-07-06,21
2020-07-13,28
2020-07-20,34
2020-07-27,42
2020-08-03,30
2020-08-10,21
2020-08-17,31
2020-08-24,34
2020-08-31,43
2020-09-07,33
2020-09-14,25
2020-09-21,29
2020-09-28,43
2020-10-05,33
2020-10-12,40
2020-10-19,42
2020-10-26,27
2020-11-02,39
2020-11-09,44
2020-11-16,39
2020-11-23,42
2020-11-30,28
2020-12-07,31
2020-12-14,33
2020-12-21,30
2020-12-28,30
2021,324
2021-01-04,45
2021-01-11,47
2021-01-18,39
2021-01-25,42
2021-02-01,42
2021-02-08,61
2021-02-15,48
