week commencing,Midlothian
2019-12-30,20
2020-01-06,20
2020-01-13,14
2020-01-20,19
2020-01-27,20
2020-02-03,17
2020-02-10,17
2020-02-17,17
2020-02-24,21
2020-03-02,13
2020-03-09,13
2020-03-16,19
2020-03-23,16
2020-03-30,33
2020-04-06,33
2020-04-13,34
2020-04-20,29
2020-04-27,50
2020-05-04,28
2020-05-11,21
2020-05-18,20
2020-05-25,14
2020-06-01,17
2020-06-08,13
2020-06-15,20
2020-06-22,17
2020-06-29,20
2020-07-06,12
2020-07-13,15
2020-07-20,12
2020-07-27,15
2020-08-03,16
2020-08-10,11
2020-08-17,14
2020-08-24,20
2020-08-31,7
2020-09-07,22
2020-09-14,10
2020-09-21,7
2020-09-28,15
2020-10-05,15
2020-10-12,19
2020-10-19,15
2020-10-26,19
2020-11-02,12
2020-11-09,21
2020-11-16,18
2020-11-23,18
2020-11-30,27
2020-12-07,21
2020-12-14,30
2020-12-21,23
2020-12-28,14
2021,133
2021-01-04,26
2021-01-11,26
2021-01-18,12
2021-01-25,21
2021-02-01,27
2021-02-08,21
