week commencing,North Ayrshire
2019-12-30,38
2020-01-06,43
2020-01-13,38
2020-01-20,37
2020-01-27,39
2020-02-03,24
2020-02-10,29
2020-02-17,46
2020-02-24,30
2020-03-02,40
2020-03-09,36
2020-03-16,36
2020-03-23,30
2020-03-30,52
2020-04-06,46
2020-04-13,58
2020-04-20,58
2020-04-27,48
2020-05-04,40
2020-05-11,39
2020-05-18,44
2020-05-25,32
2020-06-01,30
2020-06-08,32
2020-06-15,31
2020-06-22,28
2020-06-29,26
2020-07-06,27
2020-07-13,36
2020-07-20,29
2020-07-27,34
2020-08-03,28
2020-08-10,30
2020-08-17,33
2020-08-24,18
2020-08-31,33
2020-09-07,27
2020-09-14,20
2020-09-21,26
2020-09-28,30
2020-10-05,31
2020-10-12,28
2020-10-19,33
2020-10-26,35
2020-11-02,49
2020-11-09,47
2020-11-16,44
2020-11-23,39
2020-11-30,41
2020-12-07,30
2020-12-14,50
2020-12-21,37
2020-12-28,46
2021,349
2021-01-04,58
2021-01-11,52
2021-01-18,52
2021-01-25,51
2021-02-01,37
2021-02-08,56
2021-02-15,43
