week commencing,Renfrewshire
2019-12-30,43
2020-01-06,55
2020-01-13,46
2020-01-20,43
2020-01-27,33
2020-02-03,35
2020-02-10,39
2020-02-17,41
2020-02-24,37
2020-03-02,43
2020-03-09,40
2020-03-16,44
2020-03-23,26
2020-03-30,75
2020-04-06,71
2020-04-13,81
2020-04-20,97
2020-04-27,75
2020-05-04,53
2020-05-11,61
2020-05-18,50
2020-05-25,42
2020-06-01,39
2020-06-08,31
2020-06-15,36
2020-06-22,32
2020-06-29,36
2020-07-06,26
2020-07-13,44
2020-07-20,36
2020-07-27,35
2020-08-03,34
2020-08-10,39
2020-08-17,31
2020-08-24,32
2020-08-31,43
2020-09-07,29
2020-09-14,28
2020-09-21,45
2020-09-28,45
2020-10-05,33
2020-10-12,41
2020-10-19,46
2020-10-26,47
2020-11-02,43
2020-11-09,55
2020-11-16,52
2020-11-23,51
2020-11-30,66
2020-12-07,49
2020-12-14,44
2020-12-21,49
2020-12-28,28
2021,408
2021-01-04,85
2021-01-11,45
2021-01-18,58
2021-01-25,54
2021-02-01,64
2021-02-08,50
2021-02-15,52
