week commencing,Scottish Borders
2019-12-30,20
2020-01-06,41
2020-01-13,38
2020-01-20,29
2020-01-27,27
2020-02-03,24
2020-02-10,25
2020-02-17,23
2020-02-24,35
2020-03-02,32
2020-03-09,29
2020-03-16,36
2020-03-23,23
2020-03-30,42
2020-04-06,37
2020-04-13,31
2020-04-20,30
2020-04-27,27
2020-05-04,24
2020-05-11,28
2020-05-18,32
2020-05-25,18
2020-06-01,33
2020-06-08,27
2020-06-15,29
2020-06-22,21
2020-06-29,25
2020-07-06,34
2020-07-13,24
2020-07-20,30
2020-07-27,19
2020-08-03,26
2020-08-10,24
2020-08-17,25
2020-08-24,24
2020-08-31,19
2020-09-07,31
2020-09-14,23
2020-09-21,23
2020-09-28,30
2020-10-05,23
2020-10-12,17
2020-10-19,25
2020-10-26,19
2020-11-02,30
2020-11-09,23
2020-11-16,22
2020-11-23,28
2020-11-30,19
2020-12-07,21
2020-12-14,27
2020-12-21,24
2020-12-28,30
2021,223
2021-01-04,38
2021-01-11,29
2021-01-18,33
2021-01-25,29
2021-02-01,32
2021-02-08,35
2021-02-15,27
