week commencing,Na h-Eileanan Siar
2019-12-30,9
2020-01-06,8
2020-01-13,10
2020-01-20,10
2020-01-27,10
2020-02-03,11
2020-02-10,3
2020-02-17,8
2020-02-24,10
2020-03-02,6
2020-03-09,11
2020-03-16,5
2020-03-23,5
2020-03-30,6
2020-04-06,8
2020-04-13,8
2020-04-20,10
2020-04-27,5
2020-05-04,2
2020-05-11,4
2020-05-18,5
2020-05-25,7
2020-06-01,5
2020-06-08,10
2020-06-15,8
2020-06-22,6
2020-06-29,5
2020-07-06,5
2020-07-13,7
2020-07-20,5
2020-07-27,7
2020-08-03,7
2020-08-10,11
2020-08-17,6
2020-08-24,8
2020-08-31,4
2020-09-07,6
2020-09-14,9
2020-09-21,5
2020-09-28,3
2020-10-05,7
2020-10-12,6
2020-10-19,3
2020-10-26,7
2020-11-02,6
2020-11-09,2
2020-11-16,7
2020-11-23,12
2020-11-30,7
2020-12-07,8
2020-12-14,6
2020-12-21,7
2020-12-28,5
2021,55
2021-01-04,9
2021-01-11,12
2021-01-18,9
2021-01-25,11
2021-02-01,7
2021-02-08,7
