week commencing,South Ayrshire
2019-12-30,42
2020-01-06,41
2020-01-13,36
2020-01-20,40
2020-01-27,31
2020-02-03,34
2020-02-10,23
2020-02-17,35
2020-02-24,35
2020-03-02,30
2020-03-09,36
2020-03-16,26
2020-03-23,31
2020-03-30,43
2020-04-06,47
2020-04-13,53
2020-04-20,39
2020-04-27,38
2020-05-04,27
2020-05-11,36
2020-05-18,29
2020-05-25,27
2020-06-01,23
2020-06-08,27
2020-06-15,33
2020-06-22,27
2020-06-29,27
2020-07-06,27
2020-07-13,31
2020-07-20,22
2020-07-27,28
2020-08-03,32
2020-08-10,21
2020-08-17,31
2020-08-24,31
2020-08-31,31
2020-09-07,34
2020-09-14,22
2020-09-21,31
2020-09-28,44
2020-10-05,33
2020-10-12,32
2020-10-19,25
2020-10-26,43
2020-11-02,49
2020-11-09,36
2020-11-16,49
2020-11-23,46
2020-11-30,42
2020-12-07,34
2020-12-14,31
2020-12-21,31
2020-12-28,35
2021,211
2021-01-04,27
2021-01-11,38
2021-01-18,38
2021-01-25,49
2021-02-01,26
2021-02-08,33
