week commencing,Dundee City
2020-03-16,0
2020-03-23,0
2020-03-30,8
2020-04-06,21
2020-04-13,29
2020-04-20,27
2020-04-27,22
2020-05-04,17
2020-05-11,12
2020-05-18,13
2020-05-25,8
2020-06-01,3
2020-06-08,4
2020-06-15,1
2020-06-22,1
2020-06-29,2
2020-07-06,1
2020-07-13,0
2020-07-20,0
2020-07-27,0
2020-08-03,1
2020-08-10,0
2020-08-17,0
2020-08-24,0
2020-08-31,0
2020-09-07,0
2020-09-14,0
2020-09-21,0
2020-09-28,0
2020-10-05,0
2020-10-12,1
2020-10-19,1
2020-10-26,4
2020-11-02,7
2020-11-09,7
2020-11-16,6
2020-11-23,9
2020-11-30,9
2020-12-07,0
2020-12-14,2
2020-12-21,0
2020-12-28,5
2021,64
2021-01-04,8
2021-01-11,16
2021-01-18,9
2021-01-25,10
2021-02-01,13
2021-02-08,8
