week commencing,East Ayrshire
2020-03-16,0
2020-03-23,3
2020-03-30,3
2020-04-06,10
2020-04-13,12
2020-04-20,11
2020-04-27,10
2020-05-04,12
2020-05-11,4
2020-05-18,3
2020-05-25,2
2020-06-01,2
2020-06-08,3
2020-06-15,0
2020-06-22,0
2020-06-29,0
2020-07-06,0
2020-07-13,0
2020-07-20,0
2020-07-27,0
2020-08-03,0
2020-08-10,0
2020-08-17,0
2020-08-24,0
2020-08-31,0
2020-09-07,0
2020-09-14,0
2020-09-21,0
2020-09-28,1
2020-10-05,1
2020-10-12,6
2020-10-19,4
2020-10-26,8
2020-11-02,8
2020-11-09,9
2020-11-16,7
2020-11-23,5
2020-11-30,8
2020-12-07,7
2020-12-14,7
2020-12-21,7
2020-12-28,6
2021,93
2021-01-04,17
2021-01-11,13
2021-01-18,16
2021-01-25,14
2021-02-01,14
2021-02-08,15
2021-02-15,4
