week commencing,Falkirk
2020-03-16,0
2020-03-23,6
2020-03-30,6
2020-04-06,17
2020-04-13,16
2020-04-20,25
2020-04-27,16
2020-05-04,17
2020-05-11,9
2020-05-18,8
2020-05-25,3
2020-06-01,3
2020-06-08,2
2020-06-15,2
2020-06-22,3
2020-06-29,0
2020-07-06,0
2020-07-13,2
2020-07-20,0
2020-07-27,2
2020-08-03,1
2020-08-10,0
2020-08-17,1
2020-08-24,0
2020-08-31,0
2020-09-07,0
2020-09-14,0
2020-09-21,1
2020-09-28,1
2020-10-05,0
2020-10-12,2
2020-10-19,1
2020-10-26,2
2020-11-02,8
2020-11-09,9
2020-11-16,5
2020-11-23,5
2020-11-30,2
2020-12-07,1
2020-12-14,1
2020-12-21,2
2020-12-28,2
2021,91
2021-01-04,11
2021-01-11,9
2021-01-18,10
2021-01-25,12
2021-02-01,15
2021-02-08,22
2021-02-15,12
