week commencing,Fife
2020-03-16,2
2020-03-23,4
2020-03-30,9
2020-04-06,31
2020-04-13,39
2020-04-20,33
2020-04-27,25
2020-05-04,19
2020-05-11,15
2020-05-18,4
2020-05-25,8
2020-06-01,3
2020-06-08,3
2020-06-15,2
2020-06-22,3
2020-06-29,0
2020-07-06,1
2020-07-13,0
2020-07-20,2
2020-07-27,0
2020-08-03,0
2020-08-10,0
2020-08-17,0
2020-08-24,0
2020-08-31,0
2020-09-07,1
2020-09-14,1
2020-09-21,1
2020-09-28,0
2020-10-05,0
2020-10-12,2
2020-10-19,1
2020-10-26,4
2020-11-02,1
2020-11-09,10
2020-11-16,8
2020-11-23,11
2020-11-30,4
2020-12-07,12
2020-12-14,12
2020-12-21,23
2020-12-28,16
2021,162
2021-01-04,28
2021-01-11,34
2021-01-18,33
2021-01-25,27
2021-02-01,17
2021-02-08,12
2021-02-15,11
