week commencing,Midlothian
2020-03-16,0
2020-03-23,2
2020-03-30,5
2020-04-06,11
2020-04-13,16
2020-04-20,15
2020-04-27,27
2020-05-04,18
2020-05-11,9
2020-05-18,7
2020-05-25,4
2020-06-01,2
2020-06-08,0
2020-06-15,1
2020-06-22,0
2020-06-29,1
2020-07-06,0
2020-07-13,0
2020-07-20,0
2020-07-27,0
2020-08-03,0
2020-08-10,2
2020-08-17,0
2020-08-24,1
2020-08-31,0
2020-09-07,0
2020-09-14,0
2020-09-21,0
2020-09-28,0
2020-10-05,1
2020-10-12,0
2020-10-19,1
2020-10-26,1
2020-11-02,1
2020-11-09,3
2020-11-16,5
2020-11-23,3
2020-11-30,1
2020-12-07,9
2020-12-14,10
2020-12-21,4
2020-12-28,1
2021,26
2021-01-04,5
2021-01-11,2
2021-01-18,1
2021-01-25,8
2021-02-01,6
2021-02-08,4
