week commencing,Perth and Kinross
2020-03-16,0
2020-03-23,2
2020-03-30,4
2020-04-06,9
2020-04-13,10
2020-04-20,13
2020-04-27,5
2020-05-04,11
2020-05-11,8
2020-05-18,3
2020-05-25,1
2020-06-01,0
2020-06-08,2
2020-06-15,0
2020-06-22,1
2020-06-29,0
2020-07-06,1
2020-07-13,0
2020-07-20,0
2020-07-27,0
2020-08-03,0
2020-08-10,0
2020-08-17,0
2020-08-24,0
2020-08-31,1
2020-09-07,0
2020-09-14,0
2020-09-21,0
2020-09-28,0
2020-10-05,0
2020-10-12,1
2020-10-19,0
2020-10-26,4
2020-11-02,3
2020-11-09,3
2020-11-16,1
2020-11-23,7
2020-11-30,8
2020-12-07,7
2020-12-14,8
2020-12-21,11
2020-12-28,9
2021,107
2021-01-04,13
2021-01-11,18
2021-01-18,29
2021-01-25,16
2021-02-01,12
2021-02-08,9
2021-02-15,10
