week commencing,South Ayrshire
2020-03-16,0
2020-03-23,1
2020-03-30,4
2020-04-06,15
2020-04-13,26
2020-04-20,17
2020-04-27,12
2020-05-04,9
2020-05-11,9
2020-05-18,6
2020-05-25,6
2020-06-01,1
2020-06-08,2
2020-06-15,4
2020-06-22,0
2020-06-29,0
2020-07-06,0
2020-07-13,0
2020-07-20,0
2020-07-27,0
2020-08-03,0
2020-08-10,0
2020-08-17,0
2020-08-24,0
2020-08-31,0
2020-09-07,0
2020-09-14,0
2020-09-21,0
2020-09-28,0
2020-10-05,0
2020-10-12,3
2020-10-19,1
2020-10-26,3
2020-11-02,8
2020-11-09,7
2020-11-16,19
2020-11-23,18
2020-11-30,14
2020-12-07,8
2020-12-14,4
2020-12-21,7
2020-12-28,7
2021,38
2021-01-04,0
2021-01-11,11
2021-01-18,9
2021-01-25,12
2021-02-01,4
2021-02-08,2
