week commencing,West Dunbartonshire
2020-03-16,0
2020-03-23,2
2020-03-30,16
2020-04-06,17
2020-04-13,17
2020-04-20,19
2020-04-27,17
2020-05-04,11
2020-05-11,12
2020-05-18,4
2020-05-25,5
2020-06-01,1
2020-06-08,1
2020-06-15,0
2020-06-22,1
2020-06-29,1
2020-07-06,0
2020-07-13,0
2020-07-20,0
2020-07-27,0
2020-08-03,0
2020-08-10,0
2020-08-17,1
2020-08-24,0
2020-08-31,0
2020-09-07,1
2020-09-14,0
2020-09-21,0
2020-09-28,1
2020-10-05,0
2020-10-12,5
2020-10-19,2
2020-10-26,3
2020-11-02,4
2020-11-09,6
2020-11-16,7
2020-11-23,4
2020-11-30,4
2020-12-07,5
2020-12-14,4
2020-12-21,2
2020-12-28,5
2021,42
2021-01-04,4
2021-01-11,12
2021-01-18,8
2021-01-25,3
2021-02-01,5
2021-02-08,2
2021-02-15,8
