week commencing,East Lothian
2020-03-16,0
2020-03-23,0
2020-03-30,2
2020-04-06,21
2020-04-13,21
2020-04-20,15
2020-04-27,5
2020-05-04,7
2020-05-11,3
2020-05-18,2
2020-05-25,1
2020-06-01,1
2020-06-08,2
2020-06-15,0
2020-06-22,0
2020-06-29,1
2020-07-06,0
2020-07-13,1
2020-07-20,0
2020-07-27,0
2020-08-03,0
2020-08-10,0
2020-08-17,0
2020-08-24,0
2020-08-31,0
2020-09-07,0
2020-09-14,0
2020-09-21,0
2020-09-28,0
2020-10-05,0
2020-10-12,1
2020-10-19,1
2020-10-26,2
2020-11-02,0
2020-11-09,1
2020-11-16,2
2020-11-23,0
2020-11-30,1
2020-12-07,0
2020-12-14,0
2020-12-21,3
2020-12-28,2
2021,28
2021-01-04,3
2021-01-11,1
2021-01-18,7
2021-01-25,5
2021-02-01,7
2021-02-08,5
