week commencing,East Renfrewshire
2020-03-16,0
2020-03-23,1
2020-03-30,5
2020-04-06,15
2020-04-13,14
2020-04-20,13
2020-04-27,10
2020-05-04,19
2020-05-11,11
2020-05-18,5
2020-05-25,1
2020-06-01,3
2020-06-08,1
2020-06-15,1
2020-06-22,0
2020-06-29,0
2020-07-06,0
2020-07-13,0
2020-07-20,0
2020-07-27,1
2020-08-03,0
2020-08-10,0
2020-08-17,0
2020-08-24,0
2020-08-31,0
2020-09-07,0
2020-09-14,2
2020-09-21,1
2020-09-28,0
2020-10-05,1
2020-10-12,2
2020-10-19,3
2020-10-26,2
2020-11-02,6
2020-11-09,13
2020-11-16,5
2020-11-23,3
2020-11-30,4
2020-12-07,5
2020-12-14,7
2020-12-21,6
2020-12-28,5
2021,39
2021-01-04,7
2021-01-11,10
2021-01-18,5
2021-01-25,5
2021-02-01,4
2021-02-08,8
