week commencing,Inverclyde
2020-03-16,0
2020-03-23,3
2020-03-30,18
2020-04-06,29
2020-04-13,26
2020-04-20,17
2020-04-27,6
2020-05-04,4
2020-05-11,3
2020-05-18,3
2020-05-25,1
2020-06-01,2
2020-06-08,0
2020-06-15,2
2020-06-22,2
2020-06-29,0
2020-07-06,0
2020-07-13,0
2020-07-20,2
2020-07-27,1
2020-08-03,1
2020-08-10,1
2020-08-17,0
2020-08-24,0
2020-08-31,0
2020-09-07,0
2020-09-14,0
2020-09-21,0
2020-09-28,0
2020-10-05,0
2020-10-12,0
2020-10-19,0
2020-10-26,0
2020-11-02,1
2020-11-09,1
2020-11-16,2
2020-11-23,1
2020-11-30,0
2020-12-07,3
2020-12-14,1
2020-12-21,1
2020-12-28,1
2021,52
2021-01-04,10
2021-01-11,8
2021-01-18,13
2021-01-25,11
2021-02-01,4
2021-02-08,6
