week commencing,North Lanarkshire
2020-03-16,0
2020-03-23,5
2020-03-30,28
2020-04-06,46
2020-04-13,46
2020-04-20,33
2020-04-27,37
2020-05-04,15
2020-05-11,20
2020-05-18,8
2020-05-25,14
2020-06-01,6
2020-06-08,3
2020-06-15,3
2020-06-22,4
2020-06-29,0
2020-07-06,1
2020-07-13,1
2020-07-20,1
2020-07-27,0
2020-08-03,0
2020-08-10,0
2020-08-17,1
2020-08-24,1
2020-08-31,0
2020-09-07,0
2020-09-14,4
2020-09-21,2
2020-09-28,5
2020-10-05,8
2020-10-12,5
2020-10-19,6
2020-10-26,29
2020-11-02,20
2020-11-09,32
2020-11-16,21
2020-11-23,24
2020-11-30,22
2020-12-07,14
2020-12-14,12
2020-12-21,21
2020-12-28,14
2021,240
2021-01-04,53
2021-01-11,30
2021-01-18,48
2021-01-25,40
2021-02-01,37
2021-02-08,32
